record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_WBQFsam4NusNVo5NA,7979313,new_entry,,,"","Hungary introduced new regulations as of March 30, 2020, to punish the spread of false news that damages the government's defense against the spread of Covid-19 by imprisonment.",2020-03-30,2020-03-30,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Hungary,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Police",67.0412903773628,63.7248149416515,60.7481236270172,63,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3nHlBzBSwXX7o4d,https://koronavirus.gov.hu/cikkek/elfogadta-vedekezesrol-szolo-torvenyt-parlament,2021-05-12,2021-05-12T19:30:43Z
R_2SdZAJL68D0A66zCe,6404212Ce,new_entry,,,"","Hungary closed down its universities as of March 11, 2020.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Hungary,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,49.8184382241207,46.8508159522259,43.1125555893138,114,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VxVo662C87Jouj,https://koronavirus.gov.hu/cikkek/bezarnak-az-egyetemek-tilos-felsooktatasi-intezmenyek-latogatasa,2021-04-22,2021-04-22T09:16:17Z
R_1ePgKxs4hgGIUg8Em,7238230Em,new_entry,,,"","Hungary banned class trips abroad and suspended a summer language program for schools across the country as of March 11, 2020.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Hungary,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,49.8184382241207,46.8508159522259,43.1125555893138,114,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1g6l5E2l94fKHMY,https://koronavirus.gov.hu/cikkek/tilos-kulfoldi-osztalykirandulas-kulfoldi-nyelvtanulasi-programot-felfuggesztjuk,2021-05-12,2021-05-12T19:10:18Z
R_1ePgKxs4hgGIUg8Fw,7238230Fw,new_entry,,,"","Hungary banned class trips abroad and suspended a summer language program for schools across the country as of March 11, 2020.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Hungary,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,49.8184382241207,46.8508159522259,43.1125555893138,114,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1g6l5E2l94fKHMY,https://koronavirus.gov.hu/cikkek/tilos-kulfoldi-osztalykirandulas-kulfoldi-nyelvtanulasi-programot-felfuggesztjuk,2021-05-12,2021-05-12T19:10:18Z
R_3NXmQbf9TrzN3XUEl,8094344El,new_entry,,,"","Hungary, March 12, 2020:
The Hungarian Government issues a decree which, among other things, states that:
- ""students shall be prohibited from entering higher education institutions"" (as per §4b of the source document)
- ""no extraordinary break may be ordered in public education institutions by their heads, the local government clerk or the Educational Authority for the purpose of coordinated protection"" (as per §4c of the source document)
- ""the Language Learning Programme Abroad [Külföldi Nyelvtanulási Program] shall be suspended"" (as per §4e of the source document). The policy doesn't mention an end date.",2020-03-11,2020-03-12,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Hungary,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,53.1147111674673,49.8172540681625,46.6308324948892,117,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_41sol17CKrbEsal,https://budapest.diplo.de/blob/2321018/fb8442106045ef2e813cbdcfb1da6aa5/regierungsverordnung-41-2020-data.pdf,2022-05-28,2022-05-28T08:18:06Z
R_3NXmQbf9TrzN3XUEm,8094344Em,new_entry,,,"","Hungary, March 12, 2020:
The Hungarian Government issues a decree which, among other things, states that:
- ""students shall be prohibited from entering higher education institutions"" (as per §4b of the source document)
- ""no extraordinary break may be ordered in public education institutions by their heads, the local government clerk or the Educational Authority for the purpose of coordinated protection"" (as per §4c of the source document)
- ""the Language Learning Programme Abroad [Külföldi Nyelvtanulási Program] shall be suspended"" (as per §4e of the source document). The policy doesn't mention an end date.",2020-03-11,2020-03-12,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,School event cancelled or postponed,Yes,Hungary,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,53.1147111674673,49.8172540681625,46.6308324948892,117,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_41sol17CKrbEsal,https://budapest.diplo.de/blob/2321018/fb8442106045ef2e813cbdcfb1da6aa5/regierungsverordnung-41-2020-data.pdf,2022-05-28,2022-05-28T08:18:06Z
R_3NXmQbf9TrzN3XUFw,8094344Fw,new_entry,,,"","Hungary, March 12, 2020:
The Hungarian Government issues a decree which, among other things, states that:
- ""students shall be prohibited from entering higher education institutions"" (as per §4b of the source document)
- ""no extraordinary break may be ordered in public education institutions by their heads, the local government clerk or the Educational Authority for the purpose of coordinated protection"" (as per §4c of the source document)
- ""the Language Learning Programme Abroad [Külföldi Nyelvtanulási Program] shall be suspended"" (as per §4e of the source document). The policy doesn't mention an end date.",2020-03-11,2020-03-12,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,School event cancelled or postponed,Yes,Hungary,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,53.1147111674673,49.8172540681625,46.6308324948892,117,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_41sol17CKrbEsal,https://budapest.diplo.de/blob/2321018/fb8442106045ef2e813cbdcfb1da6aa5/regierungsverordnung-41-2020-data.pdf,2022-05-28,2022-05-28T08:18:06Z
R_3NXmQbf9TrzN3XUCe,8094344Ce,new_entry,,,"","Hungary, March 12, 2020:
The Hungarian Government issues a decree which, among other things, states that:
- ""students shall be prohibited from entering higher education institutions"" (as per §4b of the source document)
- ""no extraordinary break may be ordered in public education institutions by their heads, the local government clerk or the Educational Authority for the purpose of coordinated protection"" (as per §4c of the source document)
- ""the Language Learning Programme Abroad [Külföldi Nyelvtanulási Program] shall be suspended"" (as per §4e of the source document). The policy doesn't mention an end date.",2020-03-11,2020-03-12,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Hungary,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,53.1147111674673,49.8172540681625,46.6308324948892,117,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_41sol17CKrbEsal,https://budapest.diplo.de/blob/2321018/fb8442106045ef2e813cbdcfb1da6aa5/regierungsverordnung-41-2020-data.pdf,2022-05-28,2022-05-28T08:18:06Z
R_CgDhM1Z4iBB7k0VEl,8094344El,update,Change of Policy,Relaxing,[compliance] of policy relaxing,"Hungary, March 12, 2020:
The Hungarian Government issues a decree which, among other things, states that:
- ""students shall be prohibited from entering higher education institutions"" (as per §4b of the source document)
- ""no extraordinary break may be ordered in public education institutions by their heads, the local government clerk or the Educational Authority for the purpose of coordinated protection"" (as per §4c of the source document)
- ""the Language Learning Programme Abroad [Külföldi Nyelvtanulási Program] shall be suspended"" (as per §4e of the source document). The policy doesn't mention an end date. UPDATE: From March 15, 2020, kindergartens are exempted from the provision of §4c.",2020-03-14,2020-03-15,,The policy’s end date is unknown or unreported,Hungary,HUN,HU,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Hungary,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,57.9854562488191,54.9398624182512,51.8368300296488,115,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_41sol17CKrbEsal ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yJyYfN4zMRZ2V45,NA ; https://njt.hu/jogszabaly/2020-41-20-22.2,2022-05-20,2022-05-20T11:58:42Z
