record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_238AalGdTxKf8c2Ek,584021Ek,new_entry,,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-06-30,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD,http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf,2020-04-13,2020-04-13T15:07:30Z
R_238AalGdTxKf8c2El,584021El,new_entry,,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-06-30,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD,http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf,2020-04-13,2020-04-13T15:07:30Z
R_238AalGdTxKf8c2Fv,584021Fv,new_entry,,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-06-30,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD,http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf,2020-04-13,2020-04-13T15:07:30Z
R_238AalGdTxKf8c2Cd,584021Cd,new_entry,,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic.",2020-03-10,2020-03-10,2020-06-30,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD,http://www.onmne.tn/fr/images/COVID-19-bulletin-du-10-03-2020.pdf,2020-04-13,2020-04-13T15:07:30Z
R_29hS2Abn5AjCnU3Ek,584021Ek,update,End of Policy,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. UPDATE: As of May 26, 2020, Nurseries and Kindergartens can reopen at 50% capacity.",2020-03-10,2020-03-10,2020-05-26,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mt5KjzyKhMG2cm,NA ; https://www.dropbox.com/s/6pqei0p4fzkuxag/4225_school_closed.pdf?dl=1,2022-06-17,2022-06-17T11:02:52Z
R_29hS2Abn5AjCnU3El,584021El,update,End of Policy,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. UPDATE: As of May 26, 2020, Nurseries and Kindergartens can reopen at 50% capacity.",2020-03-10,2020-03-10,2020-05-26,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mt5KjzyKhMG2cm,NA ; https://www.dropbox.com/s/6pqei0p4fzkuxag/4225_school_closed.pdf?dl=1,2022-06-17,2022-06-17T11:02:52Z
R_29hS2Abn5AjCnU3Fv,584021Fv,update,End of Policy,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. UPDATE: As of May 26, 2020, Nurseries and Kindergartens can reopen at 50% capacity.",2020-03-10,2020-03-10,2020-05-26,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mt5KjzyKhMG2cm,NA ; https://www.dropbox.com/s/6pqei0p4fzkuxag/4225_school_closed.pdf?dl=1,2022-06-17,2022-06-17T11:02:52Z
R_29hS2Abn5AjCnU3Cd,584021Cd,update,End of Policy,,"","Tunisian authorities declared a closure of all educational institutions in the country, as Tunisia moves on to phase 2 of the pandemic. UPDATE: As of May 26, 2020, Nurseries and Kindergartens can reopen at 50% capacity.",2020-03-10,2020-03-10,2020-05-26,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Tunisia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.8511108473416,41.2782867853106,37.037384518236,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bILXjS3Np51faHD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mt5KjzyKhMG2cm,NA ; https://www.dropbox.com/s/6pqei0p4fzkuxag/4225_school_closed.pdf?dl=1,2022-06-17,2022-06-17T11:02:52Z
R_3nCRWryvKrjYfP8Fv,7802113Fv,new_entry,,,"","Tunisian Minister of Education has declared that baccalaureat examinations will still take place as scheduled, despite the fact that schools have been ordered to close due to COVID-19. This exam enables students to seek higher education [college degrees]. Its suspension would also lead to colleges and universities delaying their decision-making timeline.",2020-04-13,2020-04-13,,The policy’s end date is unknown or unreported,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Tunisia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",73.5277755254762,69.9840707392592,66.3315206033255,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6qUKljtY2vNfOuJ,https://www.universityworldnews.com/post.php?story=20200413141836352,2022-05-23,2022-05-23T14:36:26Z
R_D97hCLOELB4GHE5Fv,7802113Fv,update,End of Policy,,"","Tunisian Minister of Education has declared that baccalaureat examinations will still take place as scheduled, despite the fact that schools have been ordered to close due to COVID-19. This exam enables students to seek higher education [college degrees]. Its suspension would also lead to colleges and universities delaying their decision-making timeline. UPDATE: The bac exams have ended on July 8th 2020.",2020-04-13,2020-04-13,2020-07-08,The policy has a clear end date,Tunisia,TUN,TN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Tunisia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",73.5277755254762,69.9840707392592,66.3315206033255,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6qUKljtY2vNfOuJ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ptDgRr5fgzmlh5,NA ; https://www.aa.com.tr/fr/afrique/tunisie-malgr%C3%A9-la-covid-19-133-mille-candidats-passent-l%C3%A9preuve-du-baccalaur%C3%A9at/1903903,2021-02-04,2021-02-04T17:32:37Z
