record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_1rrEOmyrqWJMqTzNA,4433821,new_entry,,,"","With an alarming amount of disinformation about the new coronavirus circulating on social media, Turkish police have decided to start investigating people spreading hoaxes or fake news about the deadly COVID-19, authorities said Saturday( March 7)",2020-03-07,2020-03-09,,,Turkey,TUR,TR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Turkey,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",38.9316534799558,34.6191392280251,30.321969572968,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1r7lOOsxeqKtQGf,https://www.dailysabah.com/turkey/turkish-cyber-police-to-curb-fake-news-on-coronavirus/news,2020-05-02,2020-05-02T15:46:33Z
R_2Tu5uH9pHjcnTvuNA,366008,new_entry,,,"","On March 13, 2020, several local journalists have been arrested and charged after publishing information about infection cases in their region. The judicial authorities accused them of “sowing panic and fear” in Antalya, Turkey.",2020-03-13,2020-03-13,2020-03-13,The policy has a clear end date,Turkey,TUR,TR,Municipal,1,Antalya,TR-07,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Turkey,One or more cities within one or more countries,,Antalya,,,,All Residents (Citizen Residents + Foreign Residents),Other workers where the distinction between essential or non-essential is not explictely made (please note the occupation in the text entry),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",45.6801518648529,41.6192347755305,37.7670550720851,66,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2BhWkMsey3FeozO,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T22:31:44Z
R_2SH3MOqL4fjoCABNA,7187823,new_entry,,,"","On March 18, 2020, several local journalists have been arrested and charged after publishing information about infection cases in their region. The judicial authorities accused them of “sowing panic and fear” in Bartin, Turkey.
",2020-03-18,2020-03-18,2020-03-18,The policy has a clear end date,Turkey,TUR,TR,Municipal,1,Bartin,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Turkey,One or more cities within one or more countries,,Bartin,,,,All Residents (Citizen Residents + Foreign Residents),Other workers where the distinction between essential or non-essential is not explictely made (please note the occupation in the text entry),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",55.6960524937565,52.3736694937046,49.3956836651634,86,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JyFgnFN5b90DnK,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T23:00:51Z
R_2BsbhMP6wEJn8kzNA,5981330,new_entry,,,"","On March 21, the news director of the news website Kocaeli Ses (Kocaeli Voices), was arrested at his home in Kocaeli, a city near Istanbul, after publishing an article headlined, “Two coronavirus-linked deaths in Derince hospital.The judicial authorities accused journalists of “sowing panic and fear” under article 213 of the penal code.
",2020-03-21,2020-03-21,2020-03-21,The policy has a clear end date,Turkey,TUR,TR,Municipal,1,Kocaeli,TR-41,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Turkey,One or more cities within one or more countries,,Kocaeli,,,,All Residents (Citizen Residents + Foreign Residents),Other workers where the distinction between essential or non-essential is not explictely made (please note the occupation in the text entry),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",59.4418763034513,56.1370545422873,53.0233247935763,76,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_20P759zz5FYuDmS,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T23:08:21Z
R_CdJ8lsoLLDzz0kxNA,8140213,new_entry,,,"","In the western city of Izmir, Turkey a reporter for the Iz Gazete website, was summoned by the local security directorate’s cyber-crime section on 26 March for reporting two new cases of Covid-19 among the city’s medical personnel. The judicial authorities accused journalists of “sowing panic and fear” under article 213 of the penal code.
",2020-03-26,2020-03-26,2020-03-26,The policy has a clear end date,Turkey,TUR,TR,Municipal,1,Izmir,TR-35,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Turkey,One or more cities within one or more countries,,Izmir,,,,All Residents (Citizen Residents + Foreign Residents),Other workers where the distinction between essential or non-essential is not explictely made (please note the occupation in the text entry),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",64.0427339378854,60.5567774707307,57.5772410770009,66,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Tzas6tHppenakF,https://rsf.org/en/news/turkish-journalists-arrested-reporting-covid-19-cases,2020-11-29,2020-11-29T23:17:05Z
R_3Dj41SuSucov3YfNA,2563749,new_entry,,,"","Since March 28, 2020, the Turkish authorities have targeted doctors in senior positions in professional bodies, known as medical chambers. They were summoned to police stations in their cities and interrogated on suspicion of issuing threats regarding health with an aim to create panic and fear among the public (Article 213 of the Turkish Penal Code).",2020-03-28,2020-03-28,,,Turkey,TUR,TR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Turkey,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Ministry/Department of Justice,Police,Other (Please specify in the text box)",65.977444808434,62.5992391848642,59.3816473606263,69,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6rintWX4F5gd9Bv,https://www.hrw.org/news/2020/06/10/turkey-probes-over-doctors-covid-19-comments,2020-11-29,2020-11-29T23:46:03Z
R_1INoAK1le5j24jWNA,3158581,new_entry,,,"","Two journalists in the eastern province of Van, Turkey were summoned for questioning by the police for sharing Covid-19 information on social media. The judicial authorities accused journalists of “sowing panic and fear” under article 213 of the penal code.
",2020-04-02,2020-04-02,2020-04-02,The policy has a clear end date,Turkey,TUR,TR,Municipal,1,Van,TR-65,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Turkey,One or more cities within one or more countries,,Van,,,,All Residents (Citizen Residents + Foreign Residents),Other workers where the distinction between essential or non-essential is not explictely made (please note the occupation in the text entry),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",68.082476707553,64.4953370266792,61.3659960923152,57,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o0bpFt1Ufpw23o,https://expressioninterrupted.com/tr/koronavirus-haber-ve-paylasimlari-nedeniyle-cok-sayida-sorusturma-acildi/,2020-11-29,2020-11-29T23:29:07Z
R_1F9AkVfieMk7XloEr,23116Er,new_entry,,,"","In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,,,Turkey,TUR,TR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Turkey,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),51.3617591226139,48.1701259997692,44.4681523939359,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IB5fMs30oe2QDW,https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463,2020-08-02,2020-08-02T08:04:03Z
R_1F9AkVfieMk7XloEt,23116Et,new_entry,,,"","In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,,,Turkey,TUR,TR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Turkey,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),51.3617591226139,48.1701259997692,44.4681523939359,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IB5fMs30oe2QDW,https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463,2020-08-02,2020-08-02T08:04:03Z
R_1F9AkVfieMk7XloGd,23116Gd,new_entry,,,"","In Turkey, as of March 16, all schools will be shut down until 30 March",2020-03-12,2020-03-16,,,Turkey,TUR,TR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Turkey,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),51.3617591226139,48.1701259997692,44.4681523939359,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IB5fMs30oe2QDW,https://www.hurriyet.com.tr/gundem/son-dakika-haberleri-bestepedeki-corona-virus-toplantisi-sona-erdi-iste-alinan-kararlar-41467463,2020-08-02,2020-08-02T08:04:03Z
