record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_bpgRJa3Jqx41DZ7NA,845784,new_entry,,,"",Dominican public to cease from spreading fake news as it relates to the Coronavirus.,2020-03-06,2020-03-06,2020-03-08,The policy is a one-time measure (e.g. publication of guidelines),Dominica,DMA,DM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Dominica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vv6Z2iPCALMSOCl,https://dominicanewsonline.com/news/homepage/homepage-carousel/pm-skerrit-calls-on-dominicans-not-to-play-partisan-politics-with-coronavirus/,ACAPS,ACAPS_2525,2023-02-13,2023-02-13T08:59:38Z
R_3kj3nUEq0o01kUhEs,5073984Es,new_entry,,,"","In an address to the nation, PM Skerrit said his government has adopted a four-stage approach to manage the COVID-19 pandemic, and now that Dominica has recorded its first case, they have moved from level one to two. Because of this, he said classes at all schools across the nation have been suspended until further notice.( 23 MARCH 2020)",2020-03-23,2020-03-23,,The policy’s end date is unknown or unreported,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Dominica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PIgGwGPZLGISVXP,https://www.loopcayman.com/content/dominica-schools-closed-slow-spread-coronavirus ; https://www.youtube.com/watch?v=lGZ6ooIlwgU,CoronaNet (original),,2021-03-19,2021-03-19T18:53:40Z
R_3kj3nUEq0o01kUhEt,5073984Et,new_entry,,,"","In an address to the nation, PM Skerrit said his government has adopted a four-stage approach to manage the COVID-19 pandemic, and now that Dominica has recorded its first case, they have moved from level one to two. Because of this, he said classes at all schools across the nation have been suspended until further notice.( 23 MARCH 2020)",2020-03-23,2020-03-23,,The policy’s end date is unknown or unreported,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Dominica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PIgGwGPZLGISVXP,https://www.loopcayman.com/content/dominica-schools-closed-slow-spread-coronavirus ; https://www.youtube.com/watch?v=lGZ6ooIlwgU,CoronaNet (original),,2021-03-19,2021-03-19T18:53:40Z
R_3kj3nUEq0o01kUhGe,5073984Ge,new_entry,,,"","In an address to the nation, PM Skerrit said his government has adopted a four-stage approach to manage the COVID-19 pandemic, and now that Dominica has recorded its first case, they have moved from level one to two. Because of this, he said classes at all schools across the nation have been suspended until further notice.( 23 MARCH 2020)",2020-03-23,2020-03-23,,The policy’s end date is unknown or unreported,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Dominica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PIgGwGPZLGISVXP,https://www.loopcayman.com/content/dominica-schools-closed-slow-spread-coronavirus ; https://www.youtube.com/watch?v=lGZ6ooIlwgU,CoronaNet (original),,2021-03-19,2021-03-19T18:53:40Z
R_3kj3nUEq0o01kUhCf,5073984Cf,new_entry,,,"","In an address to the nation, PM Skerrit said his government has adopted a four-stage approach to manage the COVID-19 pandemic, and now that Dominica has recorded its first case, they have moved from level one to two. Because of this, he said classes at all schools across the nation have been suspended until further notice.( 23 MARCH 2020)",2020-03-23,2020-03-23,,The policy’s end date is unknown or unreported,Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Dominica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PIgGwGPZLGISVXP,https://www.loopcayman.com/content/dominica-schools-closed-slow-spread-coronavirus ; https://www.youtube.com/watch?v=lGZ6ooIlwgU,CoronaNet (original),,2021-03-19,2021-03-19T18:53:40Z
R_2TtItt0iiB8SCKCEs,1838523Es,new_entry,,,"","Education Minister Octavia Alfred made that announcement that since there are currently no Covid-19 cases and no community spread of the virus in Dominica all schools will reopen as normal for teachers on Tuesday, September 1st 2020 and students on Monday 7th September 2020.",2020-03-22,2020-03-23,2020-03-25,The policy is a one-time measure (e.g. publication of guidelines),Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Dominica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1CI18EzE3c7okhr ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IlWrWWVwMlGNSp,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,CoronaNet (original),,2021-11-22,2021-11-22T16:43:39Z
R_2TtItt0iiB8SCKCEt,1838523Et,new_entry,,,"","Education Minister Octavia Alfred made that announcement that since there are currently no Covid-19 cases and no community spread of the virus in Dominica all schools will reopen as normal for teachers on Tuesday, September 1st 2020 and students on Monday 7th September 2020.",2020-03-22,2020-03-23,2020-03-25,The policy is a one-time measure (e.g. publication of guidelines),Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Dominica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1CI18EzE3c7okhr ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IlWrWWVwMlGNSp,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,CoronaNet (original),,2021-11-22,2021-11-22T16:43:39Z
R_2TtItt0iiB8SCKCGe,1838523Ge,new_entry,,,"","Education Minister Octavia Alfred made that announcement that since there are currently no Covid-19 cases and no community spread of the virus in Dominica all schools will reopen as normal for teachers on Tuesday, September 1st 2020 and students on Monday 7th September 2020.",2020-03-22,2020-03-23,2020-03-25,The policy is a one-time measure (e.g. publication of guidelines),Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Dominica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1CI18EzE3c7okhr ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IlWrWWVwMlGNSp,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,CoronaNet (original),,2021-11-22,2021-11-22T16:43:39Z
R_2TtItt0iiB8SCKCCf,1838523Cf,new_entry,,,"","Education Minister Octavia Alfred made that announcement that since there are currently no Covid-19 cases and no community spread of the virus in Dominica all schools will reopen as normal for teachers on Tuesday, September 1st 2020 and students on Monday 7th September 2020.",2020-03-22,2020-03-23,2020-03-25,The policy is a one-time measure (e.g. publication of guidelines),Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Dominica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1CI18EzE3c7okhr ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IlWrWWVwMlGNSp,https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html,CoronaNet (original),,2021-11-22,2021-11-22T16:43:39Z
R_3NQIxO8JfiC2sc3Et,7544531Et,new_entry,,,"","Dominica, April 1. The government has established wifi nietworks for online classes in 56 primary schools and 13 secondary schools.",2020-04-03,2020-04-01,2020-04-03,The policy is a one-time measure (e.g. publication of guidelines),Dominica,DMA,DM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Dominica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kGDftLfPwv4sgW,https://dominicanewsonline.com/news/wp-content/uploads/2020/04/Press-Statement-Telecommunications_release-02-04-2020-2-1.pdf,ACAPS,ACAPS_7842,2023-01-03,2023-01-03T08:03:14Z
