record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_0DvyUtx6zRZB7mVNA,2306597,new_entry,original,,,"Bangladesh's the director of the Institute of Epidemiology, Diseases Control and Research (IEDCR) briefed about the rumor of corona virus which resulted in a death of one woman in Satkhira district and urged everyone about maintaining caution about rumor. February 18.",2020-02-18,2020-02-18,,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",20.6586682269746,14.0110262742322,8.62088986465363,23,https://www.thedailystar.net/frontpage/news/iedcr-boss-cautions-against-rumours-1869919,2020-06-21,2020-06-21T17:55:29Z
R_2VI3v74K64mLyBYNA,9051318,new_entry,correction,,,Bangladesh Health Minister Urged people not to pay any attention to any rumors about COVID-19. February 19.,2020-02-19,2020-02-19,2020-02-20,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",21.1036851366961,14.2318489463801,8.54853063714714,24,https://tbsnews.net/bangladesh/dont-pay-heed-rumours-over-coronavirus-health-minister-46191,2021-02-18,2021-02-18T08:52:41Z
R_1DMSN0pTzzJZ7TmNA,5576115,new_entry,original,,,"Bangladesh Police in Chattogram arrested a physician, for allegedly spreading rumour about coronavirus through an audio clip circulated via Facebook messenger.A youth arrested for spreading rumour on coronavirus through Facebook gave confessional statement before a Manikganj court yesterday, reports our correspondent.March 21.",2020-03-21,2020-03-21,2020-03-21,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice,Police",72.4561259005476,68.0647466920423,64.4635968296747,121,https://www.thedailystar.net/city/news/man-behind-viral-rumour-held-ctg-1884112,2020-06-23,2020-06-23T16:46:57Z
R_2wvNrjUCoBntychNA,7596776,new_entry,correction,,,"On March 25 2020, the Ministry of Information in Bangladesh appointed officials to monitor private television channels and social media for running any propaganda or rumours about the novel coronavirus outbreak.  In the face of a huge outcry, the information ministry last night cancelled its circular assigning 15 officials to monitor. March 26.",2020-03-25,2020-03-25,2020-03-26,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,Ministry of Information in Bangladesh has appointed officials to monitor private television channels and social media for running any propaganda or rumours about the novel coronavirus outbreak.,,Bangladesh,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",74.2262177476801,70.4943868364324,66.7942923260602,114,https://www.banglatribune.com/others/news/615673/%E0%A6%AC%E0%A7%87%E0%A6%B8%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%9F%E0%A6%BF%E0%A6%AD%E0%A6%BF-%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B2-%E0%A6%AE%E0%A6%A8%E0%A6%BF%E0%A6%9F%E0%A6%B0%E0%A6%BF%E0%A6%82-%E0%A6%95%E0%A6%B0%E0%A6%9B%E0%A7%87%E0%A6%A8 ; https://www.thedailystar.net/frontpage/news/monitoring-media-info-ministry-scraps-circular-amid-outrage-1886434,2021-02-17,2021-02-17T09:35:50Z
R_3soW2Q2J0PB1vvvNA,7596776,update,original,End of Policy,,"On March 25 2020, the Ministry of Information in Bangladesh appointed officials to monitor private television channels and social media for running any propaganda or rumours about the novel coronavirus outbreak.  In the face of a huge outcry, the information ministry last night cancelled its circular assigning 15 officials to monitor. March 26. UPDATE: In the face of a huge outcry, the information ministry cancelled its circular assigning 15 officials to monitor if private television channels were running any propaganda or rumours about the novel coronavirus outbreak on March 26.",2020-03-25,2020-03-25,2020-03-26,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,Ministry of Information in Bangladesh has appointed officials to monitor private television channels and social media for running any propaganda or rumours about the novel coronavirus outbreak.,,Bangladesh,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",74.2262177476801,70.4943868364324,66.7942923260602,114,NA ; https://www.thedailystar.net/frontpage/news/monitoring-media-info-ministry-scraps-circular-amid-outrage-1886434,2020-06-26,2020-06-26T14:59:42Z
R_Q5NOUTPRZIRmZUdNA,6034402,new_entry,original,,,Bangladesh government will sue people under the Digital Security Act for sharing or publicising rumours or confusing or unverified information on social media or through any other means during the 10-day closure to fight coronavirus says The Press Information Department. March 28,2020-03-28,2020-03-28,2020-04-05,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",73.2814446851176,69.3132492597994,64.7329931424921,104,https://www.thedailystar.net/backpage/news/coronavirus-legal-actions-sharing-rumours-1887199,2020-06-24,2020-06-24T14:26:45Z
R_3EOkh1do511wIY9NA,8350425,new_entry,original,,,"Bangladesh Police Headquarters (PHQ) yesterday called upon all not to spread misleading information and rumours against law enforcers, as it is demotivating officials who are working for the welfare of the country amid the coronavirus outbreak. PHQ came up with the appeal, after it found that photoshopped pictures of police action during the arson attacks in 2011 at the time of the BNP-Jamaat blockade are being posted and shared on social media. March 30",2020-03-30,2020-03-30,,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Police,73.4757993059427,69.1471399765787,64.8290331943705,98,https://www.thedailystar.net/city/news/dont-spread-rumours-against-police-phq-1887964,2020-06-23,2020-06-23T18:16:03Z
R_2ZOEYjTRmfKoVJsNA,9070938,new_entry,original,,,Bangladesh Army Chief urges the the soldiers and officers not to be driven by the rumors surrounding the the army's deployment during COVID-19 pandemic.June 25.,2020-06-25,2020-06-25,,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military",74.1088047918274,70.3814820535506,66.8227978691435,110,https://www.prothomalo.com/bangladesh/article/1665082/%E0%A6%97%E0%A7%81%E0%A6%9C%E0%A6%AC%E0%A7%87-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B0%E0%A7%8B%E0%A6%9A%E0%A6%BF%E0%A6%A4-%E0%A6%A8%E0%A6%BE-%E0%A6%B9%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%A8%E0%A6%BE-%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A7%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0,2020-07-01,2020-07-01T17:44:54Z
R_22JSoo85iEbaFsgNA,1133363,new_entry,original,,,"Following a rumor that all educational institutions will reopen after Eid-ul-Azha, the education ministry of Bangladesh in a press statement issued on July 22 late night clarified that the government did not make any decision in this regard yet.",2020-07-22,2020-07-22,,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),73.9319490158248,70.2870258576007,66.5390725800322,114,https://www.thedailystar.net/frontpage/news/no-decision-yet-reopening-schools-1935281,2020-07-24,2020-07-24T15:18:17Z
R_2XoGA5MU3gBeCYcNA,7680270,new_entry,original,,,"On January 1 2021, in Bangladesh Food Minister Sadhan Chandra Majumder has admitted that seven lakh fake OMS cards were distributed during the Covid-19 lockdown in the country last year.",2021-01-01,2021-01-01,,Bangladesh,BGD,BD,National,1,,,,Anti-Disinformation Measures,,,,Bangladesh,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice",31.1476974657029,23.9521090965084,17.0250934180225,6,https://www.thedailystar.net/frontpage/news/covid-food-aid-50-lakh-people-seven-lakh-oms-cards-found-fake-2020469,2021-02-17,2021-02-17T11:27:11Z
