record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_6u2xUDNSJU1V3EJNA,511723,new_entry,,,"","On March 12, 2020, the Kuwait government announced that it would take legal action (in form of lawsuits and reference to public prosecution) against those spreading false rumors and misinformation about the coronavirus in attempts to prevent panic and undermining of the public morale. Legal action has already been taken against social media accounts spreading misinformation.",2020-03-13,2020-03-29,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Kuwait,KWT,KW,,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Kuwait,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NxrSJOKkrpLTfq,https://www.kuna.net.kw/ArticleDetails.aspx?id=2881967&Language=en,CoronaNet (original),,2021-10-27,2021-10-27T17:49:30Z
R_2uV6NrmTKZqOfsCEr,7612167Er,new_entry,,,"","On Feb 26, the Ministry of Education announced universities and schools would be suspended for a period of 2 weeks starting 01 March. /web/20200409075927/  Kuwait has further extended the closure of schools and universities, with the latest update on 20 March when the government announced suspension until August 4.  Education Minister Saud Al-Harbi said the decision applies to public and private schools, and that teachers will be paid with full salaries in the duration of the suspension.  The minister said the next school year will begin in December 2020.",2020-02-26,2020-03-01,,The policy’s end date is unknown or unreported,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Kuwait,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mKk3m3u1ffJR53,https://www.kuna.net.kw/ArticleDetails.aspx?id=2868841&language=en,CoronaNet (original),,2023-07-23,2023-07-23T14:59:05Z
R_2uV6NrmTKZqOfsCGc,7612167Gc,new_entry,,,"","On Feb 26, the Ministry of Education announced universities and schools would be suspended for a period of 2 weeks starting 01 March. /web/20200409075927/  Kuwait has further extended the closure of schools and universities, with the latest update on 20 March when the government announced suspension until August 4.  Education Minister Saud Al-Harbi said the decision applies to public and private schools, and that teachers will be paid with full salaries in the duration of the suspension.  The minister said the next school year will begin in December 2020.",2020-02-26,2020-03-01,,The policy’s end date is unknown or unreported,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Kuwait,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mKk3m3u1ffJR53,https://www.kuna.net.kw/ArticleDetails.aspx?id=2868841&language=en,CoronaNet (original),,2023-07-23,2023-07-23T14:59:05Z
R_2uV6NrmTKZqOfsCCf,7612167Cf,new_entry,,,"","On Feb 26, the Ministry of Education announced universities and schools would be suspended for a period of 2 weeks starting 01 March. /web/20200409075927/  Kuwait has further extended the closure of schools and universities, with the latest update on 20 March when the government announced suspension until August 4.  Education Minister Saud Al-Harbi said the decision applies to public and private schools, and that teachers will be paid with full salaries in the duration of the suspension.  The minister said the next school year will begin in December 2020.",2020-02-26,2020-03-01,,The policy’s end date is unknown or unreported,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Kuwait,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mKk3m3u1ffJR53,https://www.kuna.net.kw/ArticleDetails.aspx?id=2868841&language=en,CoronaNet (original),,2023-07-23,2023-07-23T14:59:05Z
R_ALhv9r0W6QvkFLrEr,3376564Er,new_entry,,,"","On March 19, 2020, the Kuwaiti government announced the closure of schools and other educational institutions to be extended to August 4, 2020. The next academic year will begin later on December 1, 2020. As of April 2, 2020, the Kuwait cabinet is taking measures to allow for the possibility of online and distance learning for willing students.",2020-03-19,2020-03-19,2020-08-04,The policy has a clear end date,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Kuwait,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JwTsUVeGednPku,https://www.kuna.net.kw/ArticleDetails.aspx?id=2883632&language=en,CoronaNet (original),,2021-10-27,2021-10-27T17:55:19Z
R_ALhv9r0W6QvkFLrGc,3376564Gc,new_entry,,,"","On March 19, 2020, the Kuwaiti government announced the closure of schools and other educational institutions to be extended to August 4, 2020. The next academic year will begin later on December 1, 2020. As of April 2, 2020, the Kuwait cabinet is taking measures to allow for the possibility of online and distance learning for willing students.",2020-03-19,2020-03-19,2020-08-04,The policy has a clear end date,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Kuwait,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JwTsUVeGednPku,https://www.kuna.net.kw/ArticleDetails.aspx?id=2883632&language=en,CoronaNet (original),,2021-10-27,2021-10-27T17:55:19Z
R_ALhv9r0W6QvkFLrCf,3376564Cf,new_entry,,,"","On March 19, 2020, the Kuwaiti government announced the closure of schools and other educational institutions to be extended to August 4, 2020. The next academic year will begin later on December 1, 2020. As of April 2, 2020, the Kuwait cabinet is taking measures to allow for the possibility of online and distance learning for willing students.",2020-03-19,2020-03-19,2020-08-04,The policy has a clear end date,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Kuwait,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JwTsUVeGednPku,https://www.kuna.net.kw/ArticleDetails.aspx?id=2883632&language=en,CoronaNet (original),,2021-10-27,2021-10-27T17:55:19Z
R_9BsEnBNBmsTJfQlEr,3376564Er,update,,,"","On March 19, 2020, the Kuwaiti government announced the closure of schools and other educational institutions to be extended to August 4, 2020. The next academic year will begin later on December 1, 2020. As of April 2, 2020, the Kuwait cabinet is taking measures to allow for the possibility of online and distance learning for willing students. UPDATE: On April 2, 2020, the Kuwait cabinet has allowed the Ministry of Education and Higher Education to take the necessary measures that will allow for the voluntary continuation of education through online and distance learning to willing students.",2020-04-02,2020-04-02,,,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Kuwait,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JwTsUVeGednPku,https://www.kuna.net.kw/ArticleDetails.aspx?id=2883632&language=en,CoronaNet (original),,2020-04-02,2020-04-02T10:10:03Z
R_9BsEnBNBmsTJfQlGc,3376564Gc,update,,,"","On March 19, 2020, the Kuwaiti government announced the closure of schools and other educational institutions to be extended to August 4, 2020. The next academic year will begin later on December 1, 2020. As of April 2, 2020, the Kuwait cabinet is taking measures to allow for the possibility of online and distance learning for willing students. UPDATE: On April 2, 2020, the Kuwait cabinet has allowed the Ministry of Education and Higher Education to take the necessary measures that will allow for the voluntary continuation of education through online and distance learning to willing students.",2020-04-02,2020-04-02,,,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Kuwait,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JwTsUVeGednPku,https://www.kuna.net.kw/ArticleDetails.aspx?id=2883632&language=en,CoronaNet (original),,2020-04-02,2020-04-02T10:10:03Z
R_9BsEnBNBmsTJfQlCf,3376564Cf,update,,,"","On March 19, 2020, the Kuwaiti government announced the closure of schools and other educational institutions to be extended to August 4, 2020. The next academic year will begin later on December 1, 2020. As of April 2, 2020, the Kuwait cabinet is taking measures to allow for the possibility of online and distance learning for willing students. UPDATE: On April 2, 2020, the Kuwait cabinet has allowed the Ministry of Education and Higher Education to take the necessary measures that will allow for the voluntary continuation of education through online and distance learning to willing students.",2020-04-02,2020-04-02,,,Kuwait,KWT,KW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Kuwait,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JwTsUVeGednPku,https://www.kuna.net.kw/ArticleDetails.aspx?id=2883632&language=en,CoronaNet (original),,2020-04-02,2020-04-02T10:10:03Z
