record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_3HAnlDhzDjkl6JZBe,1237647,new_entry,,,"","As of March 17, Las Defensorías del Pueblo de la República Bolivariana de Venezuela y de Columbia will promote a fluid and constant dialogue to control the movement of Venezuelans and Columbians across the borders between the two nations.",2020-03-17,2020-03-17,,,"Colombia,Venezuela",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Colombia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Migrant workers (please note their occupation in the text entry where applicable),Other population not specifed above",,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_dc0U5cGavj5Qb7U,https://www.defensoria.gov.co/es/nube/noticias/9215/Defensor%C3%ADas-del-Pueblo-de-Colombia-y-Venezuela-velan-por-atenci%C3%B3n-m%C3%A9dica-ante-coronavirus-Venezuela-Defensor%C3%ADas-coronavirus.htm,2022-07-05,2022-07-05T13:27:30Z
R_3iHZECW7hLINCXREq,3348314Eq,new_entry,,,"",Venezuela has suspended classes at public and private schools across the country starting on March 16.,2020-03-13,2020-03-16,2020-04-06,The policy has a clear end date,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,63.3303873799648,59.7115019512766,55.6909323675478,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FqA90fzwRASfTo ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Xgta9HvfdV6vAZ,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/,2021-02-13,2021-02-13T16:15:17Z
R_3iHZECW7hLINCXRGa,3348314Ga,new_entry,,,"",Venezuela has suspended classes at public and private schools across the country starting on March 16.,2020-03-13,2020-03-16,2020-04-06,The policy has a clear end date,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,63.3303873799648,59.7115019512766,55.6909323675478,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FqA90fzwRASfTo ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Xgta9HvfdV6vAZ,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/,2021-02-13,2021-02-13T16:15:17Z
R_2f9Xv6ifFfd1AlPEp,5241891Ep,new_entry,,,"","From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.3303873799648,59.7115019512766,55.6909323675478,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6Mw4XJITJydQDxD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31GhxptohIOIwX6,NA ; https://tenemosnoticias.com/politica/clasificadas-tenemosnoticias-com/mas-de-8-millones-de-estudiantes-reiniciarn-clases-a-distancia/,2021-02-13,2021-02-13T16:27:20Z
R_2f9Xv6ifFfd1AlPEq,5241891Eq,new_entry,,,"","From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.3303873799648,59.7115019512766,55.6909323675478,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6Mw4XJITJydQDxD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31GhxptohIOIwX6,NA ; https://tenemosnoticias.com/politica/clasificadas-tenemosnoticias-com/mas-de-8-millones-de-estudiantes-reiniciarn-clases-a-distancia/,2021-02-13,2021-02-13T16:27:20Z
R_2f9Xv6ifFfd1AlPGa,5241891Ga,new_entry,,,"","From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.3303873799648,59.7115019512766,55.6909323675478,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6Mw4XJITJydQDxD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31GhxptohIOIwX6,NA ; https://tenemosnoticias.com/politica/clasificadas-tenemosnoticias-com/mas-de-8-millones-de-estudiantes-reiniciarn-clases-a-distancia/,2021-02-13,2021-02-13T16:27:20Z
R_2Ez3El3Je3V0QCMNA,8694737NA,new_entry,,,"","Venezuela announced on March 13th, that all public and private schools in the country will be closed starting from March 16th.",2020-03-13,2020-03-16,,The policy’s end date is unknown or unreported,Venezuela,VEN,VE,,1,,,,Closure and Regulation of Schools,,,"",,,,,,"","","","","","","","","","","",,,,"",,Venezuela,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,,63.3303873799648,59.7115019512766,55.6909323675478,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=NA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_24BL8uFUxst9GQL,NA ; https://mundo.sputniknews.com/america-latina/202003141090783296-maduro-decreta-el-estado-de-alarma-en-venezuela-por-coronavirus/,2022-05-16,2022-05-16T23:59:59Z
R_28LZI6nuQ0klWlJEq,3348314Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"Venezuela has suspended classes at public and private schools across the country starting on March 16. UPDATE: The original policy began under the national quarantine. On April 7th, the Ministry of Education ratified the suspension of face-to-face classes for the rest of the school year.",2020-04-07,2020-04-07,2020-06-30,The policy has a clear end date,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,65.9334881058029,62.9182345126242,59.6818671492506,39,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FqA90fzwRASfTo ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ndrLHCibI73Bca,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/ ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2021-02-13,2021-02-13T16:18:54Z
R_28LZI6nuQ0klWlJGa,3348314Ga,update,Change of Policy,Strengthening,timing of policy strengthening,"Venezuela has suspended classes at public and private schools across the country starting on March 16. UPDATE: The original policy began under the national quarantine. On April 7th, the Ministry of Education ratified the suspension of face-to-face classes for the rest of the school year.",2020-04-07,2020-04-07,2020-06-30,The policy has a clear end date,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,65.9334881058029,62.9182345126242,59.6818671492506,39,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FqA90fzwRASfTo ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ndrLHCibI73Bca,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/ ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2021-02-13,2021-02-13T16:18:54Z
R_2Suw1mlc6NCYgK8Ce,7651397Ce,new_entry,,,"","In Venezuela, the Plan “Universidad en Casa” began on April 13 and has been extended to August 30 as a ""distance education plan that has to guarantee the students the continuation of studies during this quarantine period.""",2020-04-13,2020-04-13,2020-08-30,The policy has a clear end date,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Full remote distance learning,Special provisions exist for how teaching is done which applies to all teachers,Special provisions for all students in a school (e.g. students in primary school do not have to social distance)",Yes,Venezuela,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",66.1318520125529,62.4283705686682,59.4427159240446,37,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Do2QlyCQbHXJO4,https://contrapunto.com/nacional/universidades/plan-universidad-en-casa-se-extedera-hasta-agosto/ ; https://www.elnacional.com/venezuela/isturiz-inicio-del-nuevo-ano-escolar-podria-ser-en-2021/,2020-12-28,2020-12-28T14:49:00Z
