record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_b9NJ21dlvu2snGFNA,1405891,new_entry,,,"","On March 16The Estonian government denied claims Tallinn is about to be locked down, or a curfew imposed, which have spread on social media with people claiming to have seen roadblocks being built on the outskirts of Tallinn. The city government is actually installing temporary traffic lights and renovating an intersection.",2020-03-16,2020-03-16,2020-03-17,The policy is a one-time measure (e.g. publication of guidelines),Estonia,EST,EE,Municipal,1,Harjumaa,EE-37,Tallinn,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Estonia,One or more cities within one or more countries,,Harjumaa,Tallinn,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,National Government,54.1880091499287,50.1524695442121,46.2564931164071,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_22yUPQcDzW7XCa6,https://news.err.ee/1064623/government-denies-tallinn-curfew-social-media-rumors-this-is-not-true,2022-06-27,2022-06-27T23:59:59Z
R_2dzpuBCejPNXSdOFw,84785Fw,new_entry,,,"","Starting March 6, 2020, Tallinn Kristiine High School (Tallinna Kristiine Gümnaasium) will be closed for two weeks until Mar 20, after a student was diagnosed with COVID-19 coronavirus. All 850 students will stay at home and have work provided online.",2020-03-06,2020-03-06,2022-03-20,The policy has a clear end date,Estonia,EST,EE,Municipal,1,Harjumaa,EE-37,Tallinn,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Estonia,One or more cities within one or more countries,,Harjumaa,Tallinn,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),34.2577708432414,29.3609569619208,25.049967517093,80,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bauhg2rUXSgV1gq,https://news.err.ee/1060727/tallinn-school-closed-after-confirmed-student-coronavirus-case,2022-08-22,2022-08-22T03:54:20Z
R_2wnSwyfQWvhjJ98Em,3232618Em,new_entry,,,"","On 13 March, all primary, basic, secondary, and vocational schools as well as higher education establishments and universities are required to prepare an in-house information day to hand out instructions and materials for the subsequent organisation of the studies.",2020-03-12,2020-03-13,2020-03-14,The policy has a clear end date,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Estonia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,48.1217175495777,44.1364182104811,40.0478541067693,83,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zx3JuUqGxtrODS,https://web.archive.org/web/20200629130608/https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2022-08-22,2022-08-22T04:18:24Z
R_2wnSwyfQWvhjJ98Fw,3232618Fw,new_entry,,,"","On 13 March, all primary, basic, secondary, and vocational schools as well as higher education establishments and universities are required to prepare an in-house information day to hand out instructions and materials for the subsequent organisation of the studies.",2020-03-12,2020-03-13,2020-03-14,The policy has a clear end date,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Estonia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,48.1217175495777,44.1364182104811,40.0478541067693,83,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zx3JuUqGxtrODS,https://web.archive.org/web/20200629130608/https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2022-08-22,2022-08-22T04:18:24Z
R_2wnSwyfQWvhjJ98Ce,3232618Ce,new_entry,,,"","On 13 March, all primary, basic, secondary, and vocational schools as well as higher education establishments and universities are required to prepare an in-house information day to hand out instructions and materials for the subsequent organisation of the studies.",2020-03-12,2020-03-13,2020-03-14,The policy has a clear end date,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Full remote/distance learning (e.g. All teachers must tele-teach.),Yes,Estonia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,48.1217175495777,44.1364182104811,40.0478541067693,83,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zx3JuUqGxtrODS,https://web.archive.org/web/20200629130608/https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2022-08-22,2022-08-22T04:18:24Z
R_1dNq37pX16pg7gUEm,9391878Em,new_entry,,,"","As of Monday, 16 March, schools are required to suspend regular classroom studies and switch over to remote and home studying. Universities and research institutions will continue their research and development activities. Hobby education must be suspended.
",2020-03-12,2020-03-16,2020-05-01,The policy has a clear end date,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Estonia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",54.1880091499287,50.1524695442121,46.2564931164071,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oncKSM7cc19Hbl,https://web.archive.org/web/20200629130608/https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2022-08-22,2022-08-22T04:59:31Z
R_1dNq37pX16pg7gUFw,9391878Fw,new_entry,,,"","As of Monday, 16 March, schools are required to suspend regular classroom studies and switch over to remote and home studying. Universities and research institutions will continue their research and development activities. Hobby education must be suspended.
",2020-03-12,2020-03-16,2020-05-01,The policy has a clear end date,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Estonia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",54.1880091499287,50.1524695442121,46.2564931164071,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oncKSM7cc19Hbl,https://web.archive.org/web/20200629130608/https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2022-08-22,2022-08-22T04:59:31Z
R_1dNq37pX16pg7gUCe,9391878Ce,new_entry,,,"","As of Monday, 16 March, schools are required to suspend regular classroom studies and switch over to remote and home studying. Universities and research institutions will continue their research and development activities. Hobby education must be suspended.
",2020-03-12,2020-03-16,2020-05-01,The policy has a clear end date,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Full remote/distance learning (e.g. All teachers must tele-teach.),Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home)",Yes,Estonia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",54.1880091499287,50.1524695442121,46.2564931164071,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oncKSM7cc19Hbl,https://web.archive.org/web/20200629130608/https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2022-08-22,2022-08-22T04:59:31Z
R_23fumWTrACQZA3AFw,9980652Fw,new_entry,,,"","As of Monday, 16 March, hobby education must be suspended in Estonia.",2020-03-12,2020-03-16,2020-05-01,The policy has a clear end date,Estonia,EST,EE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Estonia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",54.1880091499287,50.1524695442121,46.2564931164071,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PHiWfDcMnjoe1t7,https://web.archive.org/web/20200629130608/https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may,2022-08-22,2022-08-22T05:08:46Z
