record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_2wBSqxnO6JtgByiEt,1500422Et,new_entry,,,"",Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",41.691905166838,36.9096259270864,32.0365580062303,30,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3,NA,CoronaNet (original),,2020-06-18,2020-06-18T09:23:58Z
R_2wBSqxnO6JtgByiGe,1500422Ge,new_entry,,,"",Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",41.691905166838,36.9096259270864,32.0365580062303,30,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3,NA,CoronaNet (original),,2020-06-18,2020-06-18T09:23:58Z
R_3fBi2dGKu0kZb1uEt,1500422Et,update,Change of Policy,Strengthening,timing of policy strengthening,"Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: The original school closure was set to last until March 29 2020, it has been extended until further notice",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",41.691905166838,36.9096259270864,32.0365580062303,30,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VjUjmvllcqtFBN,NA ; https://web.archive.org/web/20200528193621/http://www.seychellesnewsagency.com/articles/12626/Seychelles+and+COVID-+New+major+measures+travel+banned+for++days%2C+schools+and+daycares+closed%2C+salaries+assured,OxCGRT,OXCGRT_Seychelles_20200323_school,2022-03-14,2022-03-14T13:34:00Z
R_3fBi2dGKu0kZb1uGe,1500422Ge,update,Change of Policy,Strengthening,timing of policy strengthening,"Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: The original school closure was set to last until March 29 2020, it has been extended until further notice",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",41.691905166838,36.9096259270864,32.0365580062303,30,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VjUjmvllcqtFBN,NA ; https://web.archive.org/web/20200528193621/http://www.seychellesnewsagency.com/articles/12626/Seychelles+and+COVID-+New+major+measures+travel+banned+for++days%2C+schools+and+daycares+closed%2C+salaries+assured,OxCGRT,OXCGRT_Seychelles_20200323_school,2022-03-14,2022-03-14T13:34:00Z
R_1PZe7rdct2xiTfkEt,1500422Et,update,End of Policy,,"",Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",77.6476380175469,74.4466364912069,70.5865419621709,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2sdw54vMv4UBqQD,NA ; http://www.statehouse.gov.sc/news/4826/address-by-president-danny-faure-on-the-easing-of-restrictions-related-to-the-covid-19-situation,OxCGRT,OXCGRT_Seychelles_20200323_school,2020-05-16,2020-05-16T00:13:16Z
R_1PZe7rdct2xiTfkGe,1500422Ge,update,End of Policy,,"",Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",77.6476380175469,74.4466364912069,70.5865419621709,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2sdw54vMv4UBqQD,NA ; http://www.statehouse.gov.sc/news/4826/address-by-president-danny-faure-on-the-easing-of-restrictions-related-to-the-covid-19-situation,OxCGRT,OXCGRT_Seychelles_20200323_school,2020-05-16,2020-05-16T00:13:16Z
R_2SHatLXS6Z020aAEs,5411647Es,new_entry,,,"","In Seychelles from 11 May, day-care services, post-secondary institutions, Guy Morel institute and University of Seychelles will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,59.0520220225168,55.1816387337546,51.7439459414337,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ndzQixfiWz1SLd ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2l841RCHFdlg8ut,NA ; http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T19:35:00Z
R_2SHatLXS6Z020aACf,5411647Cf,new_entry,,,"","In Seychelles from 11 May, day-care services, post-secondary institutions, Guy Morel institute and University of Seychelles will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,59.0520220225168,55.1816387337546,51.7439459414337,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ndzQixfiWz1SLd ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2l841RCHFdlg8ut,NA ; http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T19:35:00Z
R_10veKbeTzmC0OR3Et,5278490Et,new_entry,,,"","In Seychelles from 18 May, Primary and Secondary schools will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,59.0520220225168,55.1816387337546,51.7439459414337,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2WAWLycof7oDmLI,http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May ; https://web.archive.org/web/20200528193834/https://www.seychellesbookings.com/seychelles-corona,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T19:49:24Z
R_10veKbeTzmC0OR3Ge,5278490Ge,new_entry,,,"","In Seychelles from 18 May, Primary and Secondary schools will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,59.0520220225168,55.1816387337546,51.7439459414337,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2WAWLycof7oDmLI,http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May ; https://web.archive.org/web/20200528193834/https://www.seychellesbookings.com/seychelles-corona,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T19:49:24Z
