record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,2022-07-11,2022-07-11T23:59:59Z
R_3nINd96ZhmyVuxrBe,4354185,new_entry,,,"","March 11, 2020: With Bulletin N. 107, the Italian Ministry of Health announced that the Italian Minister of Health participated in a meeting with Health Ministers of other European countries including Austria, Denmark, France, Germany, The Netherlands, Poland, Spain, Sweden, Switzerland and UK. During the conference call, each State provided an update on the local epidemiological situation and outlined the measures adopted to fight the COVID-19 emergency.",2020-03-11,2020-03-11,2020-03-11,The policy has a clear end date,"Austria,Denmark,France,Germany,Italy,Netherlands,Poland,Spain,Sweden,Switzerland,United Kingdom",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3nkBTBHXBQrj0bo,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5476,2021-04-22,2021-04-22T15:23:53Z
R_9YuRWlLF4xhI2T7Be,5228996,new_entry,,,"","February 3, 2020: With Bulletin N. 42, the Italian Ministry of Health announced that the Minister of Health, Roberto Speranza, attended a summit between G7 Health Ministers on COVID-19. Health Ministers include: Patricia A. Hajdu for Canada, Agnès Buzyn for France, Jens Spahn for Germany, Kato Katsunobu for Japan, Matt Hancock for the UK and Alex Michael Azar II for the US. The aim of the conference was to share information between Health Ministries of the G7. Updates about the trend of the pandemic and the epidemiological situation in each State were discussed. The Italian Minister of Health outlined to the G7 colleagues the measures taken by Italy, for example the ban of flights from China and health monitoring in ports and airports. The meeting also discussed the importance of a communal commitment to support the Chinese government in its efforts to address the emergency and underlined the need to collaborate and share all scientific information useful to fight COVID-19.",2020-02-03,2020-02-03,2020-02-03,The policy has a clear end date,"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3gLD4oeMXwN8eHO,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5404,2021-04-22,2021-04-22T15:14:15Z
R_2U56GTOJW9B9F9CBe,1655030,new_entry,,,"","February 12, 2020: With Bulletin N. 65, the Italian Ministry of Health announced that the Minister of Health, Roberto Speranza, attended a teleconference between G7 Health Ministers on COVID-19 (Countries within the G7 include: Italy, Canada, France, Germany, Japan, USA and UK). The aim of the conference was to share information between Health Ministries of the G7. During the conference, updates were provided on the state of the epidemic in each State and on the measures taken by each State. Possible future scenarios were also examined. Finally, the Ministers discussed the procedures for the exchange of biological material in order to share all the information in the field of scientific research.",2020-02-12,2020-02-12,2020-02-13,The policy is a one-time measure (e.g. publication of guidelines),"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LdFjwPUIKzOr0V,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5429,2021-11-03,2021-11-03T10:18:49Z
R_2EshEyafRxmPkEdBe,7029060,new_entry,,,"","February 20, 2020: With Bulletin N. 83 by the Italian Ministry of Health announced that the Italian Minister of Health, attended a summit between G7 Health Ministers on COVID-19 (Countries within the G7 include: Italy, Canada, France, Germany, Japan, USA and UK). The aim of the conference was to share information between Health Ministries of the G7. During the conference, updates were provided on the state of the epidemic in each State and on the measures taken by each State.",2020-02-20,2020-02-20,2020-02-20,The policy has a clear end date,"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1CsHzNbNhIUDKM9,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5449,2021-04-22,2021-04-22T14:56:53Z
R_3gLsGiWjv88y61RBe,5634437,new_entry,,,"","February 28, 2020: With Bulletin N. 94, the Italian Ministry of Health announced that the Italian Minister of Health attended a summit between G7 Health Ministers on COVID-19. The Ministers described the evolving situations in their respective countries and shared information about the status of the healthcare system.",2020-02-28,2020-02-28,2020-02-28,The policy has a clear end date,"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1pLSbZamwykbmgG,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5460,2021-04-22,2021-04-22T15:03:25Z
R_2CWiUABnKXkjs73Be,5044330,new_entry,,,"","March 26, 2020: With Bulletin N. 128, the Italian Ministry of Health announced that the Italian Minister of Health attended a summit between G7 Health Ministers on COVID-19 (Countries within the G7 include: Italy, Canada, France, Germany, Japan, USA and UK). The aim of the conference was to share information about the COVID-19 health crisis between Health Ministries of the G7. The summit highlighted the need for international collaboration. It discussed the need to take harmonious and shared measures to fight the disease and to find effective drugs and vaccines.",2020-03-26,2020-03-26,2020-03-26,The policy has a clear end date,"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3eeudu2FgZqn85K,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5500,2021-04-22,2021-04-22T15:17:59Z
R_1jK9iPGiItrYUduBe,8413159,new_entry,,,"","April 3, 2020: With Bulletin N. 135, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, attended a summit with G7 Health Ministers on COVID-19 (Countries within the G7 include: Italy, Canada, France, Germany, Japan, USA and UK). The aim of the conference was to share information about the COVID-19 health crisis between Health Ministries of the G7. During the conference, updates were provided on the state of the epidemic in each country and on the measures taken by each State. During the meeting, a common problem that emerge was the need to improve the validation of serological tests and the use of the most modern technologies for 'fast tracking'. The Italian Minister said that the G7 countries need a common approach to the same issues and that international collaboration is vital.",2020-04-03,2020-04-03,2020-04-03,The policy has a clear end date,"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mLrwzylHF6jNEO,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5509,2021-04-22,2021-04-22T14:49:52Z
R_3DtHYxcoLZA4ZEdBe,9819104,new_entry,,,"","April 16, 2020: With Bulletin N. 142, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, attended a summit with G7 Health Ministers on COVID-19 (Countries within the G7 include: Italy, Canada, France, Germany, Japan, USA and UK). The aim of the conference was to share information about the health crisis between Health Ministries of the G7. During the conference, updates were provided on the state of the epidemic in each State and on the measures taken by each State. Minister Speranza stated that it is important that the G7 countries work together towards a vaccine to overcome the COVID-19 health emergency.",2020-04-16,2020-04-16,2020-04-16,The policy has a clear end date,"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QF9LZgsgCJRHJ7,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5517,2021-04-20,2021-04-20T07:41:39Z
R_2ZCasKjUQNVHHc3Be,5098737,new_entry,,,"","May 7, 2020: With Bulletin N. 161, the Italian Ministry of Health announced that the Minister of Health, Roberto Speranza, attended a summit between G7 Health Ministers on COVID-19 (Countries within the G7 include: Italy, Canada, France, Germany, Japan, USA and UK). The aim of the conference was to share information between Health Ministries of the G7. Updates about the trend of the pandemic and the epidemiological situation in each State were discussed.
",2020-05-07,2020-05-07,2020-05-07,The policy has a clear end date,"Canada,France,Germany,Italy,Japan,United Kingdom,United States",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2X4WXNCssflE2pm,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5536,2021-04-22,2021-04-22T15:16:03Z
