record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_3gLRQ7PVxp9DrmkEl,9705331El,new_entry,,,"",Cyprus to close all Nicosia schools and universities until March 25,2020-03-09,2020-03-11,2020-03-25,The policy has a clear end date,Cyprus,CYP,CY,Municipal,1,Nicosia,,Nicosia,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Cyprus,,,Nicosia,Nicosia,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Municipal Government,44.0050699210145,40.058197745232,35.2595295494207,86,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1g6B8TgDq5SRUW1,https://cyprus-mail.com/2020/03/10/some-nicosia-schools-university-of-cyprus-to-temporarily-close/,2020-04-02,2020-04-02T20:05:44Z
R_3gLRQ7PVxp9DrmkFv,9705331Fv,new_entry,,,"",Cyprus to close all Nicosia schools and universities until March 25,2020-03-09,2020-03-11,2020-03-25,The policy has a clear end date,Cyprus,CYP,CY,Municipal,1,Nicosia,,Nicosia,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Cyprus,,,Nicosia,Nicosia,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Municipal Government,44.0050699210145,40.058197745232,35.2595295494207,86,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1g6B8TgDq5SRUW1,https://cyprus-mail.com/2020/03/10/some-nicosia-schools-university-of-cyprus-to-temporarily-close/,2020-04-02,2020-04-02T20:05:44Z
R_3gLRQ7PVxp9DrmkCd,9705331Cd,new_entry,,,"",Cyprus to close all Nicosia schools and universities until March 25,2020-03-09,2020-03-11,2020-03-25,The policy has a clear end date,Cyprus,CYP,CY,Municipal,1,Nicosia,,Nicosia,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Cyprus,,,Nicosia,Nicosia,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Municipal Government,44.0050699210145,40.058197745232,35.2595295494207,86,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1g6B8TgDq5SRUW1,https://cyprus-mail.com/2020/03/10/some-nicosia-schools-university-of-cyprus-to-temporarily-close/,2020-04-02,2020-04-02T20:05:44Z
R_2v39J2yOhQGOG0PEl,9705331El,update,,,"","In Cyprus, the operation of public and private schools is suspended until the 10th of April 2020.
During the suspension of the operation of public schools, the Minister of Education and Culture has been authorized to implement alternative methods, via technology, to respond to educational needs and cover a part of the educational programme, for as long as schools will be closed. UPDATE: Previously, only schools in Nicosia were shut down until March 25. Now, the operation of all public and private schools is suspended until the 10th of April 2020.",2020-03-13,2020-03-13,2020-04-10,The policy has a clear end date,Cyprus,CYP,CY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Cyprus,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,47.3789147728163,43.1443749504303,38.4724100190017,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3wwCXw5Nq4Roy7D,https://www.pio.gov.cy/coronavirus/en/press/13032020_3.pdf,2020-04-02,2020-04-02T20:20:35Z
R_2v39J2yOhQGOG0PFv,9705331Fv,update,,,"","In Cyprus, the operation of public and private schools is suspended until the 10th of April 2020.
During the suspension of the operation of public schools, the Minister of Education and Culture has been authorized to implement alternative methods, via technology, to respond to educational needs and cover a part of the educational programme, for as long as schools will be closed. UPDATE: Previously, only schools in Nicosia were shut down until March 25. Now, the operation of all public and private schools is suspended until the 10th of April 2020.",2020-03-13,2020-03-13,2020-04-10,The policy has a clear end date,Cyprus,CYP,CY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Cyprus,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,47.3789147728163,43.1443749504303,38.4724100190017,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3wwCXw5Nq4Roy7D,https://www.pio.gov.cy/coronavirus/en/press/13032020_3.pdf,2020-04-02,2020-04-02T20:20:35Z
R_2v39J2yOhQGOG0PCd,9705331Cd,update,,,"","In Cyprus, the operation of public and private schools is suspended until the 10th of April 2020.
During the suspension of the operation of public schools, the Minister of Education and Culture has been authorized to implement alternative methods, via technology, to respond to educational needs and cover a part of the educational programme, for as long as schools will be closed. UPDATE: Previously, only schools in Nicosia were shut down until March 25. Now, the operation of all public and private schools is suspended until the 10th of April 2020.",2020-03-13,2020-03-13,2020-04-10,The policy has a clear end date,Cyprus,CYP,CY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Cyprus,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,47.3789147728163,43.1443749504303,38.4724100190017,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3wwCXw5Nq4Roy7D,https://www.pio.gov.cy/coronavirus/en/press/13032020_3.pdf,2020-04-02,2020-04-02T20:20:35Z
R_3h5rtrbjbxbXr9xEk,7491623Ek,new_entry,,,"","The President of the Republic of Cyprus has announced that: 

Primary schools and the first three grades of high school will be open as from 21/05/2020. The 1st and 2nd grades of Lyceum, nurseries, kindergartens and playschools will remain closed.",2020-05-19,2020-05-21,2022-07-27,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Cyprus,CYP,CY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Cyprus,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,69.4524108740964,66.2106420427734,62.6282839901917,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ufu3Mz2cQYyrGoN,https://www.pio.gov.cy/coronavirus/en/press/19052020_13.pdf,2021-06-12,2021-06-12T09:03:32Z
R_3h5rtrbjbxbXr9xEl,7491623El,new_entry,,,"","The President of the Republic of Cyprus has announced that: 

Primary schools and the first three grades of high school will be open as from 21/05/2020. The 1st and 2nd grades of Lyceum, nurseries, kindergartens and playschools will remain closed.",2020-05-19,2020-05-21,2022-07-27,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Cyprus,CYP,CY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Cyprus,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,69.4524108740964,66.2106420427734,62.6282839901917,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ufu3Mz2cQYyrGoN,https://www.pio.gov.cy/coronavirus/en/press/19052020_13.pdf,2021-06-12,2021-06-12T09:03:32Z
R_3h5rtrbjbxbXr9xFv,7491623Fv,new_entry,,,"","The President of the Republic of Cyprus has announced that: 

Primary schools and the first three grades of high school will be open as from 21/05/2020. The 1st and 2nd grades of Lyceum, nurseries, kindergartens and playschools will remain closed.",2020-05-19,2020-05-21,2022-07-27,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Cyprus,CYP,CY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Cyprus,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,69.4524108740964,66.2106420427734,62.6282839901917,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ufu3Mz2cQYyrGoN,https://www.pio.gov.cy/coronavirus/en/press/19052020_13.pdf,2021-06-12,2021-06-12T09:03:32Z
