record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T12:32:02Z
R_1qf84vhyvb2iVPGEr,5878302Er,new_entry,,,"","Starting from May 6, 2020, until May 31, 2020 the Lithuanian government extended the closure of schools.",2020-05-06,2020-05-06,2020-05-31,The policy has a clear end date,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6sPBh2Llgp3Birc,https://koronastop.lrv.lt/en/news/government-continues-to-ease-lockdown-restrictions,OxCGRT,OXCGRT_Lithuania_20200506_school,2023-07-26,2023-07-26T19:08:28Z
R_1qf84vhyvb2iVPGGc,5878302Gc,new_entry,,,"","Starting from May 6, 2020, until May 31, 2020 the Lithuanian government extended the closure of schools.",2020-05-06,2020-05-06,2020-05-31,The policy has a clear end date,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6sPBh2Llgp3Birc,https://koronastop.lrv.lt/en/news/government-continues-to-ease-lockdown-restrictions,OxCGRT,OXCGRT_Lithuania_20200506_school,2023-07-26,2023-07-26T19:08:28Z
R_1qf84vhyvb2iVPGCf,5878302Cf,new_entry,,,"","Starting from May 6, 2020, until May 31, 2020 the Lithuanian government extended the closure of schools.",2020-05-06,2020-05-06,2020-05-31,The policy has a clear end date,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6sPBh2Llgp3Birc,https://koronastop.lrv.lt/en/news/government-continues-to-ease-lockdown-restrictions,OxCGRT,OXCGRT_Lithuania_20200506_school,2023-07-26,2023-07-26T19:08:28Z
R_31XX8tESF53iUBhEq,8817041Eq,new_entry,,,"","Starting from May 18, 2020, The Lithuanian Cabinet of Ministers agreed to reopen nurseries and preschool groups So will non-formal education of children. Pre-school, pre-primary and non-formal education of children shall be carried out by ensuring the required conditions laid down by the State Commander of National Emergency Operations for public health safety, hygiene and the provision of persons with necessary personal protective equipment.",2020-05-13,2020-05-18,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents),Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),School event cancelled or postponed,Special provisions for all students in a school (e.g. students in primary school do not have to social distance)",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0OOg1zPUtDuRkTc,https://web.archive.org/web/20200611121736/http://lrv.lt/en/news/lockdown-restrictions-continue-to-relax,OxCGRT,OXCGRT_Lithuania_20200518_school,2023-07-27,2023-07-27T07:17:42Z
R_1NFbyWcyuXI1lpPEq,8817041Eq,update,End of Policy,,"","May 18, 2020, The Lithuanian Cabinet of Ministers agreed to reopen kindergartens and preschool groups. So will the non-formal education of children. Pre-school, pre-primary and non-formal education of children shall be carried out by ensuring the required conditions laid down by the State Commander of National Emergency Operations for public health safety, hygiene, and the provision of persons with necessary personal protective equipment. UPDATE: This overarching policy ends on 17 May 2020, as the restrictions are lifted for the youngest age groups while kept for the older children and adults.",2020-05-13,2020-05-18,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents),Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),School event cancelled or postponed,Special provisions for all students in a school (e.g. students in primary school do not have to social distance)",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_5AvALEhVPYRroeW,https://web.archive.org/web/20200611121736/http://lrv.lt/en/news/lockdown-restrictions-continue-to-relax,OxCGRT,OXCGRT_Lithuania_20200518_school,2023-01-30,2023-01-30T14:10:52Z
R_1odmo9YN5mgFjZiEr,9179920Er,new_entry,,,"","Starting from May 25, 2020 the Lithuanian government announced that primary schools will also be able to open their doors and so will special schools for pupils with special education needs due to congenital or acquired disorders. It will be up to school communities to decide whether their school continues to operate at home or in classrooms.",2020-05-13,2020-05-25,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents),Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),School event cancelled or postponed,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home)",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0PbOzlJtfoz9tb0,https://lrv.lt/en/news/lockdown-restrictions-continue-to-relax,OxCGRT,OXCGRT_Lithuania_20200525_school,2023-07-27,2023-07-27T07:22:02Z
R_1CDtWaCrPokbHkfGc,8695621Gc,new_entry,,,"","Starting from May 25, 2020, the Lithuanian government also allowed the holding of consultation exams for secondary school graduates. However, secondary education will continue from home.",2020-05-13,2020-05-25,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_b1TDr7IphIO1L0O,https://lrv.lt/en/news/lockdown-restrictions-continue-to-relax,OxCGRT,OXCGRT_Lithuania_20200525_school,2023-07-27,2023-07-27T07:15:32Z
R_1eFAypio89hEMsAEr,9179920Er,update,End of Policy,,"","On May 18, 2020, The Lithuanian Cabinet of Ministers agreed to reopen kindergartens and preschool groups. So will the non-formal education of children. Pre-school, pre-primary, and non-formal education of children shall be carried out by ensuring the required conditions laid down by the State Commander of National Emergency Operations for public health safety, hygiene, and the provision of persons with necessary personal protective equipment. UPDATE: As of May 25, 2020, The Lithuanian government announced that primary schools will be able to open their doors and so will special schools for pupils with special education needs due to congenital or acquired disorders. It will be up to school communities to decide whether their school continues to operate at home or in classrooms.",2020-05-13,2020-05-25,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents),Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),School event cancelled or postponed,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home)",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_e4cuzrYrpUuVtJ4,https://lrv.lt/en/news/lockdown-restrictions-continue-to-relax,OxCGRT,OXCGRT_Lithuania_20200525_school,2023-02-01,2023-02-01T16:23:21Z
R_330RWg8GQGMexdNEr,9179920Er,update,End of Policy,,"","Primary schools will also be able to open their doors as of May 25, 2020 and so will special schools for pupils with special education needs due to congenital or acquired disorders. It will be up to school communities to decide whether their school continues to operate at home or in classrooms. UPDATE: As of May 30, 2022, The Lithuanian government announced that basic and secondary education will be allowed to resume in schools. This is also the day for non-formal education to resume work where the specificity of the programmes prevents remote education.",2020-05-13,2020-05-30,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents),Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),School event cancelled or postponed,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home)",Yes,Lithuania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_e4cuzrYrpUuVtJ4 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rSuXlN7MzTl12l,NA ; https://web.archive.org/web/20200611121736/http://lrv.lt/en/news/lockdown-restrictions-continue-to-relax,OxCGRT,OXCGRT_Lithuania_20200530_school,2023-02-01,2023-02-01T17:03:37Z
