record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_YXOhob3Kh4uMAbnEl,8782530El,update,,,"","The government of Albania closed schools indefinitely on April 1st. UPDATE: On April 1st, the prime minister closed schools indefinitely.",2020-04-01,2020-04-01,,,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,72.2610340393522,69.1646742617806,65.9450367184521,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obZjlNmc4lQ5f7,https://al.usembassy.gov/updates_covid19/,2020-04-02,2020-04-02T17:50:55Z
R_YXOhob3Kh4uMAbnEm,8782530Em,update,,,"","The government of Albania closed schools indefinitely on April 1st. UPDATE: On April 1st, the prime minister closed schools indefinitely.",2020-04-01,2020-04-01,,,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,72.2610340393522,69.1646742617806,65.9450367184521,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obZjlNmc4lQ5f7,https://al.usembassy.gov/updates_covid19/,2020-04-02,2020-04-02T17:50:55Z
R_YXOhob3Kh4uMAbnFw,8782530Fw,update,,,"","The government of Albania closed schools indefinitely on April 1st. UPDATE: On April 1st, the prime minister closed schools indefinitely.",2020-04-01,2020-04-01,,,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,72.2610340393522,69.1646742617806,65.9450367184521,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obZjlNmc4lQ5f7,https://al.usembassy.gov/updates_covid19/,2020-04-02,2020-04-02T17:50:55Z
R_YXOhob3Kh4uMAbnCe,8782530Ce,update,,,"","The government of Albania closed schools indefinitely on April 1st. UPDATE: On April 1st, the prime minister closed schools indefinitely.",2020-04-01,2020-04-01,,,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,72.2610340393522,69.1646742617806,65.9450367184521,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obZjlNmc4lQ5f7,https://al.usembassy.gov/updates_covid19/,2020-04-02,2020-04-02T17:50:55Z
R_3oFnLas9HmCWPBrEl,8782530El,update,Change of Policy,Strengthening,timing of policy strengthening,Albania closed schools for the remainder of the year. Schools will open for seniors from May 18th until June 5th so that they can prepare for final exams. UPDATE: Schools are closed for the remainder of the school year except for Seniors in High School who can attend school for three weeks.,2020-04-28,2020-04-28,,The policy has a clear end date,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,77.8619033991503,74.9557434170328,71.9701647305013,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WdLzMKXXIwHRyGR,https://exit.al/en/2020/04/29/albania-to-open-schools-for-senior-year-high-school-students/,2020-04-29,2020-04-29T07:36:34Z
R_3oFnLas9HmCWPBrEm,8782530Em,update,Change of Policy,Strengthening,timing of policy strengthening,Albania closed schools for the remainder of the year. Schools will open for seniors from May 18th until June 5th so that they can prepare for final exams. UPDATE: Schools are closed for the remainder of the school year except for Seniors in High School who can attend school for three weeks.,2020-04-28,2020-04-28,,The policy has a clear end date,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,77.8619033991503,74.9557434170328,71.9701647305013,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WdLzMKXXIwHRyGR,https://exit.al/en/2020/04/29/albania-to-open-schools-for-senior-year-high-school-students/,2020-04-29,2020-04-29T07:36:34Z
R_3oFnLas9HmCWPBrFw,8782530Fw,update,Change of Policy,Strengthening,timing of policy strengthening,Albania closed schools for the remainder of the year. Schools will open for seniors from May 18th until June 5th so that they can prepare for final exams. UPDATE: Schools are closed for the remainder of the school year except for Seniors in High School who can attend school for three weeks.,2020-04-28,2020-04-28,,The policy has a clear end date,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,77.8619033991503,74.9557434170328,71.9701647305013,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WdLzMKXXIwHRyGR,https://exit.al/en/2020/04/29/albania-to-open-schools-for-senior-year-high-school-students/,2020-04-29,2020-04-29T07:36:34Z
R_3oFnLas9HmCWPBrCe,8782530Ce,update,Change of Policy,Strengthening,timing of policy strengthening,Albania closed schools for the remainder of the year. Schools will open for seniors from May 18th until June 5th so that they can prepare for final exams. UPDATE: Schools are closed for the remainder of the school year except for Seniors in High School who can attend school for three weeks.,2020-04-28,2020-04-28,,The policy has a clear end date,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,77.8619033991503,74.9557434170328,71.9701647305013,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WdLzMKXXIwHRyGR,https://exit.al/en/2020/04/29/albania-to-open-schools-for-senior-year-high-school-students/,2020-04-29,2020-04-29T07:36:34Z
R_1pF1XPbJIPFmnqQEl,8782530El,new_entry,,,"",Albania closed schools for the remainder of the year. Schools will open for seniors from May 18th until June 5th so that they can prepare for final exams.,2020-04-29,2020-05-18,2020-06-04,The policy has a clear end date,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,78.2895919109743,74.8781796684009,72.0506500530844,109,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WdLzMKXXIwHRyGR,https://exit.al/en/2020/04/29/albania-to-open-schools-for-senior-year-high-school-students/,2021-06-05,2021-06-05T07:50:03Z
R_1pF1XPbJIPFmnqQEm,8782530Em,new_entry,,,"",Albania closed schools for the remainder of the year. Schools will open for seniors from May 18th until June 5th so that they can prepare for final exams.,2020-04-29,2020-05-18,2020-06-04,The policy has a clear end date,Albania,ALB,AL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Albania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,78.2895919109743,74.8781796684009,72.0506500530844,109,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WdLzMKXXIwHRyGR,https://exit.al/en/2020/04/29/albania-to-open-schools-for-senior-year-high-school-students/,2021-06-05,2021-06-05T07:50:03Z
