record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_24HN49TEGyq3wC5Es,9781130Es,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,CoronaNet (original),,2021-04-30,2021-04-30T23:12:03Z
R_24HN49TEGyq3wC5Et,9781130Et,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,CoronaNet (original),,2021-04-30,2021-04-30T23:12:03Z
R_24HN49TEGyq3wC5Ge,9781130Ge,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,CoronaNet (original),,2021-04-30,2021-04-30T23:12:03Z
R_24HN49TEGyq3wC5Cf,9781130Cf,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,CoronaNet (original),,2021-04-30,2021-04-30T23:12:03Z
R_3CDvClbq0CynwgvEt,641731Et,new_entry,,,"","In Ghana, ""All Universities, Senior High Schools, and basic schools, i.e. public and private schools, will be closed Monday, 16th March, 2020, till further notice"".",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1l0RO7mocLFjm0X,https://www.presidency.gov.gh/index.php/briefing-room/speeches/1535-president-akufo-addo-addresses-nation-on-measures-taken-by-gov-t-to-combat-the-coronavirus-pandemic,COVIDAMP,COVIDAMP_30245,2023-01-11,2023-01-11T19:25:06Z
R_3CDvClbq0CynwgvGe,641731Ge,new_entry,,,"","In Ghana, ""All Universities, Senior High Schools, and basic schools, i.e. public and private schools, will be closed Monday, 16th March, 2020, till further notice"".",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1l0RO7mocLFjm0X,https://www.presidency.gov.gh/index.php/briefing-room/speeches/1535-president-akufo-addo-addresses-nation-on-measures-taken-by-gov-t-to-combat-the-coronavirus-pandemic,COVIDAMP,COVIDAMP_30245,2023-01-11,2023-01-11T19:25:06Z
R_3CDvClbq0CynwgvCf,641731Cf,new_entry,,,"","In Ghana, ""All Universities, Senior High Schools, and basic schools, i.e. public and private schools, will be closed Monday, 16th March, 2020, till further notice"".",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1l0RO7mocLFjm0X,https://www.presidency.gov.gh/index.php/briefing-room/speeches/1535-president-akufo-addo-addresses-nation-on-measures-taken-by-gov-t-to-combat-the-coronavirus-pandemic,COVIDAMP,COVIDAMP_30245,2023-01-11,2023-01-11T19:25:06Z
R_114lI5YaNNdaPqJEt,641731Et,update,End of Policy,,"","In Ghana, ""All Universities, Senior High Schools, and basic schools, i.e. public and private schools, will be closed Monday, 16th March, 2020, till further notice"". UPDATE: The original policy closed all schools indefinitely, this has ended as ""final year junior high, senior high and university students"" will be able to return to schools to complete their final exams.",2020-03-15,2020-03-16,2020-06-15,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1l0RO7mocLFjm0X ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ROf30NxM6Q0WSit,NA ; https://web.archive.org/web/20200604215546/http://www.presidency.gov.gh/index.php/briefing-room/speeches/1597-update-no-10-measures-taken-to-combat-spread-of-coronavirus,OxCGRT,OXCGRT_Ghana_20200526_school,2023-01-19,2023-01-19T08:14:42Z
R_114lI5YaNNdaPqJGe,641731Ge,update,End of Policy,,"","In Ghana, ""All Universities, Senior High Schools, and basic schools, i.e. public and private schools, will be closed Monday, 16th March, 2020, till further notice"". UPDATE: The original policy closed all schools indefinitely, this has ended as ""final year junior high, senior high and university students"" will be able to return to schools to complete their final exams.",2020-03-15,2020-03-16,2020-06-15,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1l0RO7mocLFjm0X ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ROf30NxM6Q0WSit,NA ; https://web.archive.org/web/20200604215546/http://www.presidency.gov.gh/index.php/briefing-room/speeches/1597-update-no-10-measures-taken-to-combat-spread-of-coronavirus,OxCGRT,OXCGRT_Ghana_20200526_school,2023-01-19,2023-01-19T08:14:42Z
R_114lI5YaNNdaPqJCf,641731Cf,update,End of Policy,,"","In Ghana, ""All Universities, Senior High Schools, and basic schools, i.e. public and private schools, will be closed Monday, 16th March, 2020, till further notice"". UPDATE: The original policy closed all schools indefinitely, this has ended as ""final year junior high, senior high and university students"" will be able to return to schools to complete their final exams.",2020-03-15,2020-03-16,2020-06-15,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1l0RO7mocLFjm0X ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ROf30NxM6Q0WSit,NA ; https://web.archive.org/web/20200604215546/http://www.presidency.gov.gh/index.php/briefing-room/speeches/1597-update-no-10-measures-taken-to-combat-spread-of-coronavirus,OxCGRT,OXCGRT_Ghana_20200526_school,2023-01-19,2023-01-19T08:14:42Z
