record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T10:32:02Z
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z
R_30oakQN7n2rJQGoEs,6739260Es,new_entry,,,"","Children and students in Slovakia will not return to school from Monday 18 January 2021. This results from the ongoing epidemiological situation. Therefore, they will continue in distance education in the same regime as before.",2020-01-14,2020-01-18,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1goqEBhZZbde4ko,https://web.archive.org/web/20210118153659/https://www.minedu.sk/distancne-vzdelavanie-pokracuje-aj-buduci-tyzden/,OxCGRT,OXCGRT_Slovak Republic_20210111_school,2022-11-24,2022-11-24T10:18:26Z
R_30oakQN7n2rJQGoEt,6739260Et,new_entry,,,"","Children and students in Slovakia will not return to school from Monday 18 January 2021. This results from the ongoing epidemiological situation. Therefore, they will continue in distance education in the same regime as before.",2020-01-14,2020-01-18,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1goqEBhZZbde4ko,https://web.archive.org/web/20210118153659/https://www.minedu.sk/distancne-vzdelavanie-pokracuje-aj-buduci-tyzden/,OxCGRT,OXCGRT_Slovak Republic_20210111_school,2022-11-24,2022-11-24T10:18:26Z
R_30oakQN7n2rJQGoGe,6739260Ge,new_entry,,,"","Children and students in Slovakia will not return to school from Monday 18 January 2021. This results from the ongoing epidemiological situation. Therefore, they will continue in distance education in the same regime as before.",2020-01-14,2020-01-18,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1goqEBhZZbde4ko,https://web.archive.org/web/20210118153659/https://www.minedu.sk/distancne-vzdelavanie-pokracuje-aj-buduci-tyzden/,OxCGRT,OXCGRT_Slovak Republic_20210111_school,2022-11-24,2022-11-24T10:18:26Z
R_1hYd7fUcYOid6klEs,6529184Es,new_entry,,,"","Starting on March 9, 2020, the Slovac government announces the closure of schools in the Bratislava region.",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,Provincial,1,Bratislavsky kraj,SK-BL,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Slovakia,One or more provinces within one or more countries,,Bratislavsky kraj,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_21uK1du3BiIzCET,https://spectator.sme.sk/c/22352995/two-more-coronavirus-cases-confirmed-in-slovakia.html,CDC_ITF,CDC-ITF-SK-00020_1,2022-04-07,2022-04-07T00:07:58Z
R_1hYd7fUcYOid6klEt,6529184Et,new_entry,,,"","Starting on March 9, 2020, the Slovac government announces the closure of schools in the Bratislava region.",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,Provincial,1,Bratislavsky kraj,SK-BL,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Slovakia,One or more provinces within one or more countries,,Bratislavsky kraj,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_21uK1du3BiIzCET,https://spectator.sme.sk/c/22352995/two-more-coronavirus-cases-confirmed-in-slovakia.html,CDC_ITF,CDC-ITF-SK-00020_1,2022-04-07,2022-04-07T00:07:58Z
R_1hYd7fUcYOid6klGe,6529184Ge,new_entry,,,"","Starting on March 9, 2020, the Slovac government announces the closure of schools in the Bratislava region.",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,Provincial,1,Bratislavsky kraj,SK-BL,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Slovakia,One or more provinces within one or more countries,,Bratislavsky kraj,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_21uK1du3BiIzCET,https://spectator.sme.sk/c/22352995/two-more-coronavirus-cases-confirmed-in-slovakia.html,CDC_ITF,CDC-ITF-SK-00020_1,2022-04-07,2022-04-07T00:07:58Z
R_1hYd7fUcYOid6klCf,6529184Cf,new_entry,,,"","Starting on March 9, 2020, the Slovac government announces the closure of schools in the Bratislava region.",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,Provincial,1,Bratislavsky kraj,SK-BL,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Slovakia,One or more provinces within one or more countries,,Bratislavsky kraj,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_21uK1du3BiIzCET,https://spectator.sme.sk/c/22352995/two-more-coronavirus-cases-confirmed-in-slovakia.html,CDC_ITF,CDC-ITF-SK-00020_1,2022-04-07,2022-04-07T00:07:58Z
R_2pSKCngntnX4XRqEs,6892969Es,new_entry,,,"","All primary schools, art schools, and kindergartens in the capital of Slovakia will stay closed from March 10, 2020, until March 16, 2020.",2020-03-09,2020-03-09,2020-03-16,The policy has a clear end date,Slovakia,SVK,SK,Municipal,1,Bratislavsky kraj,SK-BL,Bratislava,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Slovakia,One or more cities within one or more countries,,Bratislavsky kraj,Bratislava,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_VQeoaCPnglOcuXv,http://web.archive.org/web/20200520112759/https://spectator.sme.sk/c/22353481/coronavirus-many-schools-in-slovakia-have-been-closed.html,OxCGRT,OXCGRT_Slovak Republic_20200310_school,2022-04-07,2022-04-07T00:19:22Z
