record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_2tgHf2dyQsTnfVDEm,6669388Em,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1r6uVqZKFKGnqEi,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-04-03,2020-04-03T09:44:31Z
R_2tgHf2dyQsTnfVDFw,6669388Fw,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1r6uVqZKFKGnqEi,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-04-03,2020-04-03T09:44:31Z
R_2tgHf2dyQsTnfVDCe,6669388Ce,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1r6uVqZKFKGnqEi,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-04-03,2020-04-03T09:44:31Z
R_3h9HKzaIZFOBoY1El,8918213El,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z
R_3h9HKzaIZFOBoY1Em,8918213Em,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z
R_3h9HKzaIZFOBoY1Fw,8918213Fw,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z
R_3h9HKzaIZFOBoY1Ce,8918213Ce,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z
R_2bUUe90ZSH8yKwrEl,8918213El,update,Change of Policy,Strengthening,timing of policy strengthening,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise. UPDATE: All schools and other academic institutions must remain close and remunerate their employees with pay for the duration of the emergency. They will remain closed until further notice.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvZWRRbo9nxYEy,NA ; https://www.transparencia.gob.sv/institutions/capres/documents/indice-de-decretos-ejecutivos?utf8=✓&q[name_or_description_cont]=Decreto+Ejecutivo+2020-018&q[year_cont]=&button=&q[document_category_id_eq]=,2022-06-19,2022-06-19T04:53:22Z
R_2bUUe90ZSH8yKwrEm,8918213Em,update,Change of Policy,Strengthening,timing of policy strengthening,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise. UPDATE: All schools and other academic institutions must remain close and remunerate their employees with pay for the duration of the emergency. They will remain closed until further notice.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvZWRRbo9nxYEy,NA ; https://www.transparencia.gob.sv/institutions/capres/documents/indice-de-decretos-ejecutivos?utf8=✓&q[name_or_description_cont]=Decreto+Ejecutivo+2020-018&q[year_cont]=&button=&q[document_category_id_eq]=,2022-06-19,2022-06-19T04:53:22Z
R_2bUUe90ZSH8yKwrFw,8918213Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise. UPDATE: All schools and other academic institutions must remain close and remunerate their employees with pay for the duration of the emergency. They will remain closed until further notice.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvZWRRbo9nxYEy,NA ; https://www.transparencia.gob.sv/institutions/capres/documents/indice-de-decretos-ejecutivos?utf8=✓&q[name_or_description_cont]=Decreto+Ejecutivo+2020-018&q[year_cont]=&button=&q[document_category_id_eq]=,2022-06-19,2022-06-19T04:53:22Z
