record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_UimVe2TplGGZAfnEq,1158170Eq,new_entry,,,"","On March 20, the Cambodian government announced comprehensive closures to include all public and private educational institutions at all levels throughout the country.",2020-03-20,2020-02-20,,The policy’s end date is unknown or unreported,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TBmX7cyEtrTHQj,https://web.archive.org/web/20210322222100/https://kh.usembassy.gov/covid-19-information/,CoronaNet (original),,2023-02-07,2023-02-07T05:33:12Z
R_UimVe2TplGGZAfnEr,1158170Er,new_entry,,,"","On March 20, the Cambodian government announced comprehensive closures to include all public and private educational institutions at all levels throughout the country.",2020-03-20,2020-02-20,,The policy’s end date is unknown or unreported,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TBmX7cyEtrTHQj,https://web.archive.org/web/20210322222100/https://kh.usembassy.gov/covid-19-information/,CoronaNet (original),,2023-02-07,2023-02-07T05:33:12Z
R_UimVe2TplGGZAfnGb,1158170Gb,new_entry,,,"","On March 20, the Cambodian government announced comprehensive closures to include all public and private educational institutions at all levels throughout the country.",2020-03-20,2020-02-20,,The policy’s end date is unknown or unreported,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TBmX7cyEtrTHQj,https://web.archive.org/web/20210322222100/https://kh.usembassy.gov/covid-19-information/,CoronaNet (original),,2023-02-07,2023-02-07T05:33:12Z
R_UimVe2TplGGZAfnCf,1158170Cf,new_entry,,,"","On March 20, the Cambodian government announced comprehensive closures to include all public and private educational institutions at all levels throughout the country.",2020-03-20,2020-02-20,,The policy’s end date is unknown or unreported,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TBmX7cyEtrTHQj,https://web.archive.org/web/20210322222100/https://kh.usembassy.gov/covid-19-information/,CoronaNet (original),,2023-02-07,2023-02-07T05:33:12Z
R_2Cjg5XhYZkvNMT5Eq,3291877Eq,new_entry,,,"",Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,The policy’s end date is unknown or unreported,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXnZvTUDE89jR4J,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,CoronaNet (original),,2022-05-16,2022-05-16T23:59:59Z
R_2Cjg5XhYZkvNMT5Er,3291877Er,new_entry,,,"",Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,The policy’s end date is unknown or unreported,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXnZvTUDE89jR4J,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,CoronaNet (original),,2022-05-16,2022-05-16T23:59:59Z
R_2Cjg5XhYZkvNMT5Gb,3291877Gb,new_entry,,,"",Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,The policy’s end date is unknown or unreported,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXnZvTUDE89jR4J,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,CoronaNet (original),,2022-05-16,2022-05-16T23:59:59Z
R_5sDFpppL6Isf4vnEq,3291877Eq,update,End of Policy,,"","Cambodia closes all schools in the town of Siem Reap as of March 7. UPDATE: Plans were made to reopen schools in August on July 22, 2020",2020-03-07,2020-03-07,2020-07-22,The policy has a clear end date,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXnZvTUDE89jR4J ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1f0KfqJ068W3TjJ,"NA ; https://www.phnompenhpost.com/national/ministry-set-reopen-20-schools-august#:~:text=Khorn%20Savi-,The%20Ministry%20of%20Education,%20Youth%20and%20Sport%20will%20allow%2020,Penh,%20Siem%20Reap%20and%20Battambang. ; https://cambodianess.com/article/education-ministry-greenlights-reopening-of-20-private-schools",CoronaNet (original),,2021-05-02,2021-05-02T05:19:58Z
R_5sDFpppL6Isf4vnEr,3291877Er,update,End of Policy,,"","Cambodia closes all schools in the town of Siem Reap as of March 7. UPDATE: Plans were made to reopen schools in August on July 22, 2020",2020-03-07,2020-03-07,2020-07-22,The policy has a clear end date,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXnZvTUDE89jR4J ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1f0KfqJ068W3TjJ,"NA ; https://www.phnompenhpost.com/national/ministry-set-reopen-20-schools-august#:~:text=Khorn%20Savi-,The%20Ministry%20of%20Education,%20Youth%20and%20Sport%20will%20allow%2020,Penh,%20Siem%20Reap%20and%20Battambang. ; https://cambodianess.com/article/education-ministry-greenlights-reopening-of-20-private-schools",CoronaNet (original),,2021-05-02,2021-05-02T05:19:58Z
R_5sDFpppL6Isf4vnGb,3291877Gb,update,End of Policy,,"","Cambodia closes all schools in the town of Siem Reap as of March 7. UPDATE: Plans were made to reopen schools in August on July 22, 2020",2020-03-07,2020-03-07,2020-07-22,The policy has a clear end date,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cambodia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXnZvTUDE89jR4J ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1f0KfqJ068W3TjJ,"NA ; https://www.phnompenhpost.com/national/ministry-set-reopen-20-schools-august#:~:text=Khorn%20Savi-,The%20Ministry%20of%20Education,%20Youth%20and%20Sport%20will%20allow%2020,Penh,%20Siem%20Reap%20and%20Battambang. ; https://cambodianess.com/article/education-ministry-greenlights-reopening-of-20-private-schools",CoronaNet (original),,2021-05-02,2021-05-02T05:19:58Z
