record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_RaVCOf80Pvn2PTjNA,33861,new_entry,,,"","April 1: Laos has announced that posting or sharing April Fools’ Day jokes about Covid-19 is now punishable by law. According to the Mass Media Department Facebook page, Media Laos, anyone found posting or sharing April Fools’ Day jokes regarding Covid-19 will face up to three years imprisonment and a fine of up to LAK 20 million, approximately USD 2,000.",2020-03-31,2020-04-01,2020-04-01,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Laos,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,74.3517452094832,70.8236907918774,66.8832386710515,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1gdxfqikGtwYBWI,https://laotiantimes.com/2020/04/01/laos-puts-the-brakes-on-april-fools-during-covid-19-pandemic/,2020-05-02,2020-05-02T21:50:28Z
R_1dEovvUh55QGpYuEk,7042929Ek,update,End of Policy,,"","Laos Prime Minister Thongloun Sisoulith has ordered the temporary closure of preschools and kindergartens nationwide amid the ongoing global outbreak of the new coronavirus, or covid-19. This order is effective from 17 March.

Update: Schools are allowed to fully open on June 2, 2020. UPDATE: Schools are allowed to fully open on June 2, 2020.",2020-03-17,2020-03-17,2020-06-02,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",45.2131152221919,40.7852822499348,36.3981468627085,32,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bQ14wJG02EZCFb ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2row5JRCZC1FYHS,NA ; https://www.who.int/docs/default-source/wpro---documents/countries/lao-people's-democratic-republic/covid-19/covid-19-wco-moh-sitrep-21.pdf?sfvrsn=f3ebae43_2&download=false,2021-01-07,2021-01-07T05:45:45Z
R_1BWupNqWgJXxzfmEk,7042929Ek,update,Change of Policy,Strengthening,timing of policy strengthening,"Laos Prime Minister Thongloun Sisoulith has ordered the temporary closure of preschools and kindergartens nationwide amid the ongoing global outbreak of the new coronavirus, or covid-19. This order is effective from 17 March.

The Lao government has announced it will close all educational institutions from March 19 until April 21. The previous policy included the closures of only preschools and kindergartens, and the policy had no concrete end date.

 UPDATE: The original suspension of schools included only preschools and kindergartens and had no clear end date. All schools and universities (including the previously closed preschools and kindergartens) have been suspended from March 19 to April 21.",2020-03-18,2020-03-19,2020-04-21,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",45.0366746328296,41.1683353647194,36.4857646334164,23,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bQ14wJG02EZCFb ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aafNZyOM8QxFZS,NA ; https://laotiantimes.com/2020/03/19/lao-government-shutters-schools-visa-on-arrival/,2020-06-15,2020-06-15T20:59:01Z
R_31McSEnZWxkv6KOEk,7847940Ek,update,End of Policy,,"","Lao People's Democratic Republic Prime Minister's Order, dated March 23, 2020: Closed Nursery, Kindergarten, Elementary, Secondary, College, University Colleges and institutions of public and private sectors across the country temporarily until Adjustments. 

March 19, 2020: VIENTIANE (Xinhua): The Lao government has suspended the issuance of visas for foreign tourists for 30 days and suspended all levels of education to prevent Covid-19, Prime Minister Thongloun Sisoulith has announced.  All state and private educational facilities from preschools through to universities will be closed until further notice -- an expansion from the previous announcement by the Ministry of Education and Sports that ordered the closure of just preschools, kindergarten and primary schools.

Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies. UPDATE: Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies.",2020-03-18,2020-03-23,2020-05-18,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",45.7275782136382,41.9906214813088,37.4743458655235,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DMiki7o51mr7awh ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ck4Wx3sV22kmkV3,NA ; https://laotiantimes.com/2020/05/01/laos-to-loosen-lockdown-measures-in-bid-to-restart-economy/,2020-05-13,2020-05-13T01:01:08Z
R_31McSEnZWxkv6KOEl,7847940El,update,End of Policy,,"","Lao People's Democratic Republic Prime Minister's Order, dated March 23, 2020: Closed Nursery, Kindergarten, Elementary, Secondary, College, University Colleges and institutions of public and private sectors across the country temporarily until Adjustments. 

March 19, 2020: VIENTIANE (Xinhua): The Lao government has suspended the issuance of visas for foreign tourists for 30 days and suspended all levels of education to prevent Covid-19, Prime Minister Thongloun Sisoulith has announced.  All state and private educational facilities from preschools through to universities will be closed until further notice -- an expansion from the previous announcement by the Ministry of Education and Sports that ordered the closure of just preschools, kindergarten and primary schools.

Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies. UPDATE: Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies.",2020-03-18,2020-03-23,2020-05-18,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",45.7275782136382,41.9906214813088,37.4743458655235,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DMiki7o51mr7awh ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ck4Wx3sV22kmkV3,NA ; https://laotiantimes.com/2020/05/01/laos-to-loosen-lockdown-measures-in-bid-to-restart-economy/,2020-05-13,2020-05-13T01:01:08Z
R_31McSEnZWxkv6KOFv,7847940Fv,update,End of Policy,,"","Lao People's Democratic Republic Prime Minister's Order, dated March 23, 2020: Closed Nursery, Kindergarten, Elementary, Secondary, College, University Colleges and institutions of public and private sectors across the country temporarily until Adjustments. 

March 19, 2020: VIENTIANE (Xinhua): The Lao government has suspended the issuance of visas for foreign tourists for 30 days and suspended all levels of education to prevent Covid-19, Prime Minister Thongloun Sisoulith has announced.  All state and private educational facilities from preschools through to universities will be closed until further notice -- an expansion from the previous announcement by the Ministry of Education and Sports that ordered the closure of just preschools, kindergarten and primary schools.

Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies. UPDATE: Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies.",2020-03-18,2020-03-23,2020-05-18,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",45.7275782136382,41.9906214813088,37.4743458655235,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DMiki7o51mr7awh ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ck4Wx3sV22kmkV3,NA ; https://laotiantimes.com/2020/05/01/laos-to-loosen-lockdown-measures-in-bid-to-restart-economy/,2020-05-13,2020-05-13T01:01:08Z
R_31McSEnZWxkv6KOCd,7847940Cd,update,End of Policy,,"","Lao People's Democratic Republic Prime Minister's Order, dated March 23, 2020: Closed Nursery, Kindergarten, Elementary, Secondary, College, University Colleges and institutions of public and private sectors across the country temporarily until Adjustments. 

March 19, 2020: VIENTIANE (Xinhua): The Lao government has suspended the issuance of visas for foreign tourists for 30 days and suspended all levels of education to prevent Covid-19, Prime Minister Thongloun Sisoulith has announced.  All state and private educational facilities from preschools through to universities will be closed until further notice -- an expansion from the previous announcement by the Ministry of Education and Sports that ordered the closure of just preschools, kindergarten and primary schools.

Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies. UPDATE: Starting 18 May, the following educational institutions may re-open: Primary 5, Secondary 4, and Secondary 7 grade levels at all public and private schools, as well as military and police academies.",2020-03-18,2020-03-23,2020-05-18,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",45.7275782136382,41.9906214813088,37.4743458655235,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DMiki7o51mr7awh ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ck4Wx3sV22kmkV3,NA ; https://laotiantimes.com/2020/05/01/laos-to-loosen-lockdown-measures-in-bid-to-restart-economy/,2020-05-13,2020-05-13T01:01:08Z
R_3kcgZiTWMFyQgUjEk,7042929Ek,update,End of Policy,,"","Laos Prime Minister Thongloun Sisoulith has ordered the temporary closure of preschools and kindergartens nationwide amid the ongoing global outbreak of the new coronavirus, or covid-19. This order is effective from 17 March.

The Lao government has announced it will close all educational institutions from March 19 until April 21. The previous policy included the closures of only preschools and kindergartens, and the policy had no concrete end date.

The government has announced all students nationwide can go back to schools on June 2, while final-year classes in primary, lower and upper secondary schools began on Monday, May 18.

 UPDATE: According to the latest announcement by the Prime Minister’s Office, issued on May 15, state and private kindergartens, primary and secondary schools, tertiary education institutions, colleges and universities are expected to reopen on June 2 with strict measures. Final-year classes in primary, lower and upper secondary schools began on Monday, May 18.",2020-05-15,2020-05-18,2020-06-02,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",59.3500168449694,55.5368025992086,51.6089427987007,23,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bQ14wJG02EZCFb ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3FV7ephU6k1KxdH,NA ; http://www.vientianetimes.org.la/freeContent/FreeConten_Students94.php,2020-06-16,2020-06-16T21:29:50Z
R_3LdtIV1aCEMaXQAEk,7847940Ek,update,End of Policy,,"","Starting June 2 in Laos, schools and colleges (including preschools, kindergartens, primary school levels 1-4, secondary school levels 1, 2, 3, 5, and 6, final year classes at vocational schools, teacher training colleges, universities, and training sessions or short courses) may resume classes. UPDATE: Schools will reopen for most classes June 2",2020-05-29,2020-06-02,2020-05-18,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",52.702220589135,48.9474577704376,45.4462803619173,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DMiki7o51mr7awh ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KE1lpnz0006Fgt,NA ; https://laotiantimes.com/2020/05/29/lockdown-measures-loosened-as-laos-adopts-new-normal/,2020-05-30,2020-05-30T18:57:03Z
R_3LdtIV1aCEMaXQAEl,7847940El,update,End of Policy,,"","Starting June 2 in Laos, schools and colleges (including preschools, kindergartens, primary school levels 1-4, secondary school levels 1, 2, 3, 5, and 6, final year classes at vocational schools, teacher training colleges, universities, and training sessions or short courses) may resume classes. UPDATE: Schools will reopen for most classes June 2",2020-05-29,2020-06-02,2020-05-18,The policy has a clear end date,Laos,LAO,LA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Laos,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",52.702220589135,48.9474577704376,45.4462803619173,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DMiki7o51mr7awh ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KE1lpnz0006Fgt,NA ; https://laotiantimes.com/2020/05/29/lockdown-measures-loosened-as-laos-adopts-new-normal/,2020-05-30,2020-05-30T18:57:03Z
