record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T12:32:02Z
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z
R_2qeLzuxUAQU8EVyEq,1722483Eq,new_entry,,,"",North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2020-04-02,2020-04-02T11:59:18Z
R_2qeLzuxUAQU8EVyEr,1722483Er,new_entry,,,"",North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2020-04-02,2020-04-02T11:59:18Z
R_2qeLzuxUAQU8EVyGc,1722483Gc,new_entry,,,"",North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2020-04-02,2020-04-02T11:59:18Z
R_2qeLzuxUAQU8EVyCf,1722483Cf,new_entry,,,"",North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2020-04-02,2020-04-02T11:59:18Z
R_1gAwZ2rfXUpO7JiEq,1722483Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"North Macedonia closed schools for two weeks. UPDATE: All schools and kindergartens will remain closed until June 10, 2020.",2020-03-10,2020-03-10,2020-06-10,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PZYi1M0PlmwExSp,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2021-07-12,2021-07-12T09:50:12Z
R_1gAwZ2rfXUpO7JiEr,1722483Er,update,Change of Policy,Strengthening,timing of policy strengthening,"North Macedonia closed schools for two weeks. UPDATE: All schools and kindergartens will remain closed until June 10, 2020.",2020-03-10,2020-03-10,2020-06-10,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PZYi1M0PlmwExSp,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2021-07-12,2021-07-12T09:50:12Z
R_1gAwZ2rfXUpO7JiGc,1722483Gc,update,Change of Policy,Strengthening,timing of policy strengthening,"North Macedonia closed schools for two weeks. UPDATE: All schools and kindergartens will remain closed until June 10, 2020.",2020-03-10,2020-03-10,2020-06-10,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PZYi1M0PlmwExSp,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2021-07-12,2021-07-12T09:50:12Z
R_1gAwZ2rfXUpO7JiCf,1722483Cf,update,Change of Policy,Strengthening,timing of policy strengthening,"North Macedonia closed schools for two weeks. UPDATE: All schools and kindergartens will remain closed until June 10, 2020.",2020-03-10,2020-03-10,2020-06-10,The policy has a clear end date,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,North Macedonia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ivTZhi0ff1iyPm ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PZYi1M0PlmwExSp,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,CoronaNet (original),,2021-07-12,2021-07-12T09:50:12Z
