record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T10:32:02Z
R_1BXlgbDykJXSlDyNA,6858674,new_entry,,,"","On March 15, 2020, it was announced that to fight incorrect information, Ukraine’s health ministry has partnered with Facebook, which has 14 million users in the country. The social network will push updates from verified sources such as the ministry website and the government coronavirus information website, covid19.com.ua.",2020-03-15,2020-03-15,,The policy’s end date is unknown or unreported,Ukraine,UKR,UA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,59.4864305282379,56.1257359500921,52.9014222081907,118,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KgaGUrPihzkGKg,https://www.kyivpost.com/ukraine-politics/coronavirus-misinformation-goes-viral-in-ukraine.html,CoronaNet (original),,2021-06-05,2021-06-05T08:48:47Z
R_VLvFkyRJSoir0K5NA,5330073,new_entry,,,"","On March 31, 2020, the Anti-Monopoly Committee of Ukraine bans advertisements of any medications as treatment for the coronavirus as such ads are deceptive. Pharmaceutical companies, advertising agencies and media companies that violate the law will be fined up to 5% of their annual revenues.",2020-03-31,2020-03-31,2023-05-02,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Ukraine,UKR,UA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,Other (Please specify in the text box),74.4210724813874,71.0315310405453,67.954151257248,106,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25AQq55DDm2agst,https://www.kyivpost.com/business/authorities-ban-advertisement-of-non-existent-coronavirus-cures.html,CoronaNet (original),,2021-06-05,2021-06-05T08:49:33Z
R_22z5hNbLapNcDQVEs,7078327Es,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,CoronaNet (original),,2020-07-28,2020-07-28T04:18:15Z
R_22z5hNbLapNcDQVEt,7078327Et,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,CoronaNet (original),,2020-07-28,2020-07-28T04:18:15Z
R_22z5hNbLapNcDQVGe,7078327Ge,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,CoronaNet (original),,2020-07-28,2020-07-28T04:18:15Z
R_22z5hNbLapNcDQVCf,7078327Cf,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,CoronaNet (original),,2020-07-28,2020-07-28T04:18:15Z
R_3ktvAtXFLVTMAdLEs,838208Es,new_entry,,,"","On March 11, 2020 Kyiv Mayor  Klitschko said that all types of educational institutions are closed in  Kyiv including kindergartens, art and sports schools, and others starting from March 12, 2020 and it will last until the end of March.",2020-03-11,2020-03-12,2020-03-31,The policy has a clear end date,Ukraine,UKR,UA,Municipal,1,Kyiv City,UA-30,Kyiv,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Ukraine,One or more cities within one or more countries,,Kyiv City,Kyiv,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Municipal Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3FP64aaenEeYR2D,https://www.unian.info/kyiv/10909799-massive-preventive-measures-being-introduced-in-kyiv-amid-coronavirus-fears.html,ACAPS,ACAPS_3993,2022-04-02,2022-04-02T07:14:23Z
R_3ktvAtXFLVTMAdLEt,838208Et,new_entry,,,"","On March 11, 2020 Kyiv Mayor  Klitschko said that all types of educational institutions are closed in  Kyiv including kindergartens, art and sports schools, and others starting from March 12, 2020 and it will last until the end of March.",2020-03-11,2020-03-12,2020-03-31,The policy has a clear end date,Ukraine,UKR,UA,Municipal,1,Kyiv City,UA-30,Kyiv,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Ukraine,One or more cities within one or more countries,,Kyiv City,Kyiv,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Municipal Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3FP64aaenEeYR2D,https://www.unian.info/kyiv/10909799-massive-preventive-measures-being-introduced-in-kyiv-amid-coronavirus-fears.html,ACAPS,ACAPS_3993,2022-04-02,2022-04-02T07:14:23Z
R_3ktvAtXFLVTMAdLGe,838208Ge,new_entry,,,"","On March 11, 2020 Kyiv Mayor  Klitschko said that all types of educational institutions are closed in  Kyiv including kindergartens, art and sports schools, and others starting from March 12, 2020 and it will last until the end of March.",2020-03-11,2020-03-12,2020-03-31,The policy has a clear end date,Ukraine,UKR,UA,Municipal,1,Kyiv City,UA-30,Kyiv,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Ukraine,One or more cities within one or more countries,,Kyiv City,Kyiv,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Municipal Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3FP64aaenEeYR2D,https://www.unian.info/kyiv/10909799-massive-preventive-measures-being-introduced-in-kyiv-amid-coronavirus-fears.html,ACAPS,ACAPS_3993,2022-04-02,2022-04-02T07:14:23Z
