record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_2ar8WSI71ZPn3gTNA,656823,new_entry,,,"","On April 1, the Mauritanian Ministery of Health created laws to punish individuals whose media statements undermine the public health efforts of the government.",2020-04-01,2020-04-01,2022-07-21,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Mauritania,MRT,MR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,71.2044189241812,67.058316372208,63.4364134244202,73,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1WYMh8vlTSzuE8x,http://www.ami.mr/Depeche-62089.html,2021-08-02,2021-08-02T10:55:43Z
R_2799IjVbeo9jsCfEl,9640116El,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2022-05-23,2022-05-23T23:59:59Z
R_2799IjVbeo9jsCfEm,9640116Em,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2022-05-23,2022-05-23T23:59:59Z
R_2799IjVbeo9jsCfFw,9640116Fw,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2022-05-23,2022-05-23T23:59:59Z
R_2799IjVbeo9jsCfCe,9640116Ce,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2022-05-23,2022-05-23T23:59:59Z
R_1DRTgaALNjKqguqEl,9640116El,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_1DRTgaALNjKqguqEm,9640116Em,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_1DRTgaALNjKqguqFw,9640116Fw,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_1DRTgaALNjKqguqCe,9640116Ce,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_3meig9qqvNNj73sFw,5157060Fw,new_entry,,,"","On April 2, the Mauritanian Ministry of Basic Education and Secondary Education closed all public and private institutions for secondary education and technical and vocational training until April 30th.",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,70.9156194312314,67.3561023493079,63.7583698206068,73,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2UXkU6nBoy6CoHi,http://www.ami.mr/Depeche-62115.html,2020-12-01,2020-12-01T23:18:10Z
