record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_2w4YjbR6cwFgEXkCe,1846854Ce,new_entry,,,"",Jamaica is closing its universities after March 13 for two weeks.,2020-03-12,2020-03-13,2020-03-27,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Jamaica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",57.2390414375848,53.2321444929314,49.7519873596332,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2rj5dWKj3AQtIZB,https://www.mona.uwi.edu/covid19,2020-07-30,2020-07-30T08:40:12Z
R_3szbjwZ1gC40NOBEp,6480331Ep,new_entry,,,"","Jamaica closes all schools for two weeks after March 13, 2020.",2020-03-12,2020-03-13,2020-03-27,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Jamaica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",57.2390414375848,53.2321444929314,49.7519873596332,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvR1uWarpBLZEI,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2021-06-05,2021-06-05T01:22:44Z
R_3szbjwZ1gC40NOBEq,6480331Eq,new_entry,,,"","Jamaica closes all schools for two weeks after March 13, 2020.",2020-03-12,2020-03-13,2020-03-27,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Jamaica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",57.2390414375848,53.2321444929314,49.7519873596332,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvR1uWarpBLZEI,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2021-06-05,2021-06-05T01:22:44Z
R_3szbjwZ1gC40NOBGa,6480331Ga,new_entry,,,"","Jamaica closes all schools for two weeks after March 13, 2020.",2020-03-12,2020-03-13,2020-03-27,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Jamaica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",57.2390414375848,53.2321444929314,49.7519873596332,122,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvR1uWarpBLZEI,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2021-06-05,2021-06-05T01:22:44Z
R_2QEhwZBBylV1E02Ep,6928735Ep,new_entry,,,"","On March 23, 2020 it was announced that Schools in Jamaica will continue to be closed until April 8",2020-03-23,2020-03-23,2020-04-08,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Jamaica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,66.6026632344943,63.4223025687705,60.4905627186392,91,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31TzOMSq9h0iSEv,https://twitter.com/AndrewHolnessJM/status/1242247210923941895,2022-03-05,2022-03-05T10:29:07Z
R_2QEhwZBBylV1E02Eq,6928735Eq,new_entry,,,"","On March 23, 2020 it was announced that Schools in Jamaica will continue to be closed until April 8",2020-03-23,2020-03-23,2020-04-08,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Jamaica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,66.6026632344943,63.4223025687705,60.4905627186392,91,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31TzOMSq9h0iSEv,https://twitter.com/AndrewHolnessJM/status/1242247210923941895,2022-03-05,2022-03-05T10:29:07Z
R_2QEhwZBBylV1E02Ga,6928735Ga,new_entry,,,"","On March 23, 2020 it was announced that Schools in Jamaica will continue to be closed until April 8",2020-03-23,2020-03-23,2020-04-08,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Jamaica,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,66.6026632344943,63.4223025687705,60.4905627186392,91,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31TzOMSq9h0iSEv,https://twitter.com/AndrewHolnessJM/status/1242247210923941895,2022-03-05,2022-03-05T10:29:07Z
R_2WTnDPVlQFYRRo2Ep,6480331Ep,update,,,"","Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Jamaica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",66.3095622118672,63.363956236972,60.2860078522537,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHD5xp2P4gOhBY,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z
R_2WTnDPVlQFYRRo2Eq,6480331Eq,update,,,"","Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Jamaica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",66.3095622118672,63.363956236972,60.2860078522537,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHD5xp2P4gOhBY,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z
R_2WTnDPVlQFYRRo2Ga,6480331Ga,update,,,"","Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,The policy has a clear end date,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Jamaica,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",66.3095622118672,63.363956236972,60.2860078522537,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHD5xp2P4gOhBY,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z
