record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_2ZVWSWfpnxhOIXKDy,3466098Dy,new_entry,original,,,Monaco opened day care centers for children of essential workers on March 16 and until further notice. For parents who don't have any other solution the decision to accept their children in these day care centers will be made case by case.,2020-03-13,2020-03-16,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Monaco,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://www.gouv.mc/Action-Gouvernementale/Coronavirus-Covid-19/Actualites/CORONAVIRUS-le-Gouvernement-princier-decide-la-fermeture-des-creches-et-des-etablissements-d-enseignement-des-lundi,2021-04-16,2021-04-16T21:06:12Z
R_25T4l9dl8Unz9qcEa,43464Ea,new_entry,correction,,,"Monaco is enforcing a closure of all primary schools, high schools and higher education institutions, effective March 16 and until further notice.",2020-03-14,2020-03-16,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Monaco,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,,,,,https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,2021-04-16,2021-04-16T21:10:49Z
R_25T4l9dl8Unz9qcFj,43464Fj,new_entry,correction,,,"Monaco is enforcing a closure of all primary schools, high schools and higher education institutions, effective March 16 and until further notice.",2020-03-14,2020-03-16,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Monaco,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,,,,,https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,2021-04-16,2021-04-16T21:10:49Z
R_25T4l9dl8Unz9qcCe,43464Ce,new_entry,correction,,,"Monaco is enforcing a closure of all primary schools, high schools and higher education institutions, effective March 16 and until further notice.",2020-03-14,2020-03-16,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Monaco,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,,,,,https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,2021-04-16,2021-04-16T21:10:49Z
R_3lPLyW9DtKYbbGoEa,2132934Ea,new_entry,original,,,"Effective March 16 and until further notice, students in primary schools, high schools and higher education institutions must study remotly, through digital applications.",2020-03-13,2020-03-16,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Monaco,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://www.gouv.mc/Action-Gouvernementale/Coronavirus-Covid-19/Actualites/CORONAVIRUS-le-Gouvernement-princier-decide-la-fermeture-des-creches-et-des-etablissements-d-enseignement-des-lundi,2021-04-16,2021-04-16T21:21:22Z
R_3lPLyW9DtKYbbGoFj,2132934Fj,new_entry,original,,,"Effective March 16 and until further notice, students in primary schools, high schools and higher education institutions must study remotly, through digital applications.",2020-03-13,2020-03-16,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Monaco,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://www.gouv.mc/Action-Gouvernementale/Coronavirus-Covid-19/Actualites/CORONAVIRUS-le-Gouvernement-princier-decide-la-fermeture-des-creches-et-des-etablissements-d-enseignement-des-lundi,2021-04-16,2021-04-16T21:21:22Z
R_3lPLyW9DtKYbbGoCe,2132934Ce,new_entry,original,,,"Effective March 16 and until further notice, students in primary schools, high schools and higher education institutions must study remotly, through digital applications.",2020-03-13,2020-03-16,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Monaco,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://www.gouv.mc/Action-Gouvernementale/Coronavirus-Covid-19/Actualites/CORONAVIRUS-le-Gouvernement-princier-decide-la-fermeture-des-creches-et-des-etablissements-d-enseignement-des-lundi,2021-04-16,2021-04-16T21:21:22Z
R_UhDLiRgVouOOcAVFj,2796645Fj,new_entry,correction,,,"Effective May 11 and until May 18, only those who study in these classes are allowed to be in school : 1st, Terminale and BTS.",2020-04-28,2020-05-11,2020-05-18,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Monaco,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.gouv.mc/Action-Gouvernementale/Coronavirus-Covid-19/Actualites/La-levee-du-confinement-en-Principaute-etape-par-etape,2021-04-10,2021-04-10T02:23:14Z
R_Za5NQ7vfr3BQClPEa,43464Ea,update,correction,,,Monaco is enforcing a closure of schools after March 16 and until further notice. UPDATE: The policy is changing of population target on May 11 (some students are now allowed to go at school).,2020-04-28,2020-05-11,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Monaco,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,,,,,https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,2021-04-16,2021-04-16T21:14:19Z
R_Za5NQ7vfr3BQClPFj,43464Fj,update,correction,,,Monaco is enforcing a closure of schools after March 16 and until further notice. UPDATE: The policy is changing of population target on May 11 (some students are now allowed to go at school).,2020-04-28,2020-05-11,,Monaco,MCO,MC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Monaco,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,,,,,https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,2021-04-16,2021-04-16T21:14:19Z
