record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1GDm1FtDh7wBUmyEk,2981323Ek,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TMrtIDlHn5wmIs,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_1GDm1FtDh7wBUmyEl,2981323El,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TMrtIDlHn5wmIs,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_1GDm1FtDh7wBUmyFv,2981323Fv,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TMrtIDlHn5wmIs,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_1GDm1FtDh7wBUmyCd,2981323Cd,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TMrtIDlHn5wmIs,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_3fTV0704biLayuhNA,7325916,new_entry,,,"","The President of Mozambique declares State of Emergency for 30 days, counting from the 1st of April.",2020-03-30,2020-04-01,2020-04-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qgunJlwOHmxZfx,https://clubofmozambique.com/news/mozambique-nyusi-declares-state-of-emergency-156530/ ; https://www.voaportugues.com/a/covid-19-parlamento-mo%C3%A7ambicano-ratifica-estado-de-emerg%C3%AAncia/5354192.html,2020-04-04,2020-04-04T00:37:29Z,10,0,0,19,288,0.009,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_1jNEj4Ot4AefoB5NA,8565735,new_entry,,,"","Mozambique’s President Filipe Nyusi has extended the State of Emergency for another 30 days. The measures will now run from May 1, 2020 until 30, 2020",2020-04-30,2020-05-01,2020-05-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mozambique,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Military,Municipal Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1jPOAR2Z81KWzBA,https://clubofmozambique.com/news/watch-state-of-emergency-extended-in-mozambique-what-the-president-said-158994/,2021-09-19,2021-09-19T08:58:41Z,79,0,12,170,2246,0.07,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_3lJRxSC2qF5Zk1YNA,7524446,new_entry,,,"","Mozambique is extending state of emergency for another 30 days for the second time starting on May 31 2020 until June 29, 2020.",2020-05-28,2020-05-31,2020-06-29,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Police,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1NtwSgdx5uv9nHM ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TGyEkE4wlC02E1,NA ; https://clubofmozambique.com/news/assembly-ratifies-extension-to-state-of-emergency-161769/,2021-09-26,2021-09-26T09:34:45Z,254,2,91,617,10878,0.339,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_x0pkib7OWWjCTypNA,4873843,new_entry,,,"","Mozambican President Filipe Nyusi announced the extension of the state of emergency for another 30 days for the third time starting from June 30, 2020 until July 29, 2020.",2020-06-28,2020-06-30,2020-07-29,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mozambique,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Military,Municipal Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_xnnE0m3bmfNEuoV,https://clubofmozambique.com/news/mozambique-extends-state-of-emergency-for-3rd-time-with-some-restrictions-relaxed-164115/ ; https://clubofmozambique.com/news/mozambique-state-of-emergency-and-the-constitution-watch-167547/,2021-09-19,2021-09-19T10:32:38Z,889,6,232,173,29577,0.922,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_3M0uLo4E3W33zjTNA,1043572,new_entry,,,"","Republic of Mozambique, August 8, 2020: the President declared the State of Emergency across the national territory for 30 days until September 6, 2020. Violation will be punished by a penalty of 3 to 15 days in prison. The police will monitor compliance, but the Defense and Security Forces, municipal and local, can also be called in to ensure compliance.",2020-08-05,2020-08-08,2020-09-06,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mozambique,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Military,Municipal Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2alWOs4ZHHZv7Mm ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_viYkuD8ycJxsyT7,NA ; https://clubofmozambique.com/news/mozambique-assembly-ratifies-new-state-of-emergency-168203/,2021-09-19,2021-09-19T12:05:51Z,2241,16,832,861,67403,2.101,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_21Bem3GptlFrNE8NA,9493077,new_entry,,,"","On September 04, 2020, in Mozambique: President Nyusi announced that the state of emergency, will be replaced by a situation of public calamity from September 07, 2020 that will last indefinitely. Failure to obey the regulations can be punished in terms of the legislation on civil disobedience and offences against public health.",2020-09-04,2020-09-07,2022-09-09,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mozambique,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Military,Municipal Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dnZELNQZNW0lkl,https://clubofmozambique.com/news/mozambique-from-state-of-emergency-to-situation-of-public-calamity-aim-report-170835/,2021-10-01,2021-10-01T13:38:15Z,4557,27,2697,2006,106382,3.316,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
