record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2CNWRapZpeBqh0VNA,4174060,new_entry,,,"",The Qassim Region Police identified and detained the man of the news account spreading rumors and fake news on social media websites alleging that the curfew timetable periods had changed in Saudi Arabia. The man was subjected to applicable rules and referred to public prosecution.,2020-05-02,2020-05-02,,,Saudi Arabia,SAU,SA,Provincial,1,Al-Qassim,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Saudi Arabia,One or more provinces within one or more countries,,Al-Qassim,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Provincial/State Government,Police",98.5496913688874,97.9974368987124,97.2614058000666,139,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2riwS8OHBog1FE2,https://www.spa.gov.sa/viewfullstory.php?lang=en&newsid=2081602#2081602,2020-06-30,2020-06-30T22:02:15Z,25459,176,3765,12780,394385,10.97,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_23ZuVnqbxHY049fNA,8793047,new_entry,,,"","Saudi Arabia's General Secretariat of the Organization of Islamic Cooperation (OIC) has launched a far-reaching media awareness campaign under the hashtag: ""OICCountriesCombatCOVID19"" as an anti-disinformation measure on the OIC's social media platforms and has also created a special page on its official website regularly updating information and statistics on the spread of the novel Coronavirus in the OIC Member States.",2020-06-28,2020-06-28,,,Saudi Arabia,SAU,SA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",70.6924344000739,66.438052320486,62.4360179353646,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2vdz2KvAA0YVPvL,https://www.spa.gov.sa/viewfullstory.php?lang=en&newsid=2103167#2103167,2020-08-19,2020-08-19T06:41:11Z,182493,1551,124755,45104,1632439,45.408,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_3MbsWTLJlgg3SH3Ek,309483Ek,new_entry,,,"","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Saudi Arabia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,57.6958138531088,52.8781028829331,48.6554236025233,128,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bOFmU4L5AtEGqV,https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html,2020-04-03,2020-04-03T04:25:27Z,15,0,0,2201,8180,0.228,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_3MbsWTLJlgg3SH3El,309483El,new_entry,,,"","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Saudi Arabia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,57.6958138531088,52.8781028829331,48.6554236025233,128,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bOFmU4L5AtEGqV,https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html,2020-04-03,2020-04-03T04:25:27Z,15,0,0,2201,8180,0.228,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_3MbsWTLJlgg3SH3Fv,309483Fv,new_entry,,,"","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Saudi Arabia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,57.6958138531088,52.8781028829331,48.6554236025233,128,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bOFmU4L5AtEGqV,https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html,2020-04-03,2020-04-03T04:25:27Z,15,0,0,2201,8180,0.228,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_3MbsWTLJlgg3SH3Cd,309483Cd,new_entry,,,"","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Saudi Arabia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,57.6958138531088,52.8781028829331,48.6554236025233,128,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bOFmU4L5AtEGqV,https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html,2020-04-03,2020-04-03T04:25:27Z,15,0,0,2201,8180,0.228,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_1OZYGQLkbIH31a0Ek,458836Ek,new_entry,,,"","The Kingdom of Saudi Arabia suspended all educational and Quranic activities at all mosques, beginning March 9th.",2020-03-08,2020-03-09,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,57.6958138531088,52.8781028829331,48.6554236025233,128,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3dEXECjNWbnH0fn,saudi to suspend all educational and quranic activities,2020-07-30,2020-07-30T23:51:43Z,15,0,0,2201,8180,0.228,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_1OZYGQLkbIH31a0El,458836El,new_entry,,,"","The Kingdom of Saudi Arabia suspended all educational and Quranic activities at all mosques, beginning March 9th.",2020-03-08,2020-03-09,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,57.6958138531088,52.8781028829331,48.6554236025233,128,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3dEXECjNWbnH0fn,saudi to suspend all educational and quranic activities,2020-07-30,2020-07-30T23:51:43Z,15,0,0,2201,8180,0.228,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_1OZYGQLkbIH31a0Fv,458836Fv,new_entry,,,"","The Kingdom of Saudi Arabia suspended all educational and Quranic activities at all mosques, beginning March 9th.",2020-03-08,2020-03-09,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,57.6958138531088,52.8781028829331,48.6554236025233,128,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3dEXECjNWbnH0fn,saudi to suspend all educational and quranic activities,2020-07-30,2020-07-30T23:51:43Z,15,0,0,2201,8180,0.228,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_262Xtip1y05C3r9Ek,309483Ek,update,Change of Policy,Strengthening,timing of policy strengthening,"Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020. 

UPDATE: On August 15, Saudi Arabia announced it would continue distance learning measures for students during the first seven weeks of the new academic year and will review a return to schools later on. UPDATE: Despite the beginning of a new academic year, on August 15, Saudi Arabia announced it would reconduct distance learning for the first seven weeks of the school year.",2020-08-15,2020-08-15,,,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Saudi Arabia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,65.8209367803355,61.4410778552728,57.9169797110082,74,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bOFmU4L5AtEGqV ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3D6lrabiL1RDLWm,NA ; https://english.alarabiya.net/en/coronavirus/2020/08/15/Saudi-Arabia-Distance-learning-for-first-7-weeks-of-new-academic-year-amid-COVID-19,2020-10-01,2020-10-01T20:33:05Z,297315,3369,264487,63174,4388412,122.069,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
