record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1mf4OegPZVT64QzBe,3115157,new_entry,,,"","The Surinamese authorities, in collaboration with the French government, deploy more patrols within Suriname, starting on the 30th of April until at least the 10th of May",2020-04-29,2020-04-30,2020-05-10,The policy has a clear end date,"France,Suriname",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",,Suriname,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_eEVGroIYrcyic4K,https://covid-19.sr/verscherpte-covid-19-maatregelen-ingaande-30-april/,2022-07-05,2022-07-05T15:41:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3n1NIDPlooDTPI3NA,5587916,new_entry,,,"","To provide the public with all relevent information regarding the outbreak, the Surinamese government created a website for public access. The website is accessible by any member of the public, but can only be edited by members of the Corona emergency response team, and associated doctors and researchers.",2020-08-27,2020-08-27,2020-08-28,The policy is a one-time measure (e.g. publication of guidelines),Suriname,SUR,SR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,New (COVID-19 specific) Task Force,82.3858646414655,79.5859315481791,76.1619616132357,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ffpw7ddRYMe9Hn,https://covid-19.sr/situation-report/,2022-10-22,2022-10-22T23:59:59Z,3793,66,2893,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_3Pc7R9gEAHfu4TwEl,3364240El,update,Change of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NNS5HCE2gdeJWf,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z,10,1,6,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_3Pc7R9gEAHfu4TwEm,3364240Em,update,Change of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NNS5HCE2gdeJWf,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z,10,1,6,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_3Pc7R9gEAHfu4TwFw,3364240Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NNS5HCE2gdeJWf,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z,10,1,6,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_3Pc7R9gEAHfu4TwCe,3364240Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NNS5HCE2gdeJWf,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z,10,1,6,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_2rYe6NzhPij26GdEl,3364240El,update,End of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: As of the 08th of June, certain classes can go back to school. These classes are for preparation for the upcoming exams.",2020-06-06,2020-06-08,2020-07-13,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,77.7427019784168,74.5176311073438,71.1408390870718,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1rIGCAynK5A4r6d,NA ; https://www.starnieuws.com/index.php/welcome/index/nieuwsitem/58981,2020-12-17,2020-12-17T07:39:49Z,128,2,9,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_2rYe6NzhPij26GdEm,3364240Em,update,End of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: As of the 08th of June, certain classes can go back to school. These classes are for preparation for the upcoming exams.",2020-06-06,2020-06-08,2020-07-13,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,77.7427019784168,74.5176311073438,71.1408390870718,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1rIGCAynK5A4r6d,NA ; https://www.starnieuws.com/index.php/welcome/index/nieuwsitem/58981,2020-12-17,2020-12-17T07:39:49Z,128,2,9,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_2rYe6NzhPij26GdFw,3364240Fw,update,End of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: As of the 08th of June, certain classes can go back to school. These classes are for preparation for the upcoming exams.",2020-06-06,2020-06-08,2020-07-13,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,77.7427019784168,74.5176311073438,71.1408390870718,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1rIGCAynK5A4r6d,NA ; https://www.starnieuws.com/index.php/welcome/index/nieuwsitem/58981,2020-12-17,2020-12-17T07:39:49Z,128,2,9,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
R_2rYe6NzhPij26GdCe,3364240Ce,update,End of Policy,Strengthening,timing of policy strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: As of the 08th of June, certain classes can go back to school. These classes are for preparation for the upcoming exams.",2020-06-06,2020-06-08,2020-07-13,,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Suriname,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,77.7427019784168,74.5176311073438,71.1408390870718,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1oo56MtTWSkwjg3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1rIGCAynK5A4r6d,NA ; https://www.starnieuws.com/index.php/welcome/index/nieuwsitem/58981,2020-12-17,2020-12-17T07:39:49Z,128,2,9,,,,,,,,,20,17.5,1,-0.435670435428619,0.823284327983856,6,41,570496,4545151261.66562,1.68708360197722,13.2542614368662,22.2373268449166,2,2,1.56927558387858,-0.62427371374867,43127
