record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_0TFAZvTM9NiZs6REk,7841137Ek,new_entry,,,"",The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.,2020-03-16,2020-03-16,2020-04-15,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Lk2eLB3QVePM4h,http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2,2020-04-02,2020-04-02T18:18:19Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_0TFAZvTM9NiZs6REl,7841137El,new_entry,,,"",The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.,2020-03-16,2020-03-16,2020-04-15,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Lk2eLB3QVePM4h,http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2,2020-04-02,2020-04-02T18:18:19Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_0TFAZvTM9NiZs6RFv,7841137Fv,new_entry,,,"",The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.,2020-03-16,2020-03-16,2020-04-15,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Lk2eLB3QVePM4h,http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2,2020-04-02,2020-04-02T18:18:19Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_0TFAZvTM9NiZs6RCd,7841137Cd,new_entry,,,"",The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.,2020-03-16,2020-03-16,2020-04-15,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Lk2eLB3QVePM4h,http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2,2020-04-02,2020-04-02T18:18:19Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_27U0hVVQiF2ztD2Ek,7841137Ek,update,,Strengthening,timing of policy strengthening,"Ivory Coast extends the current schools closing policy to May 17 UPDATE: The original period was set to last until April 17, it has been extended to May 17",2020-04-15,2020-04-15,2020-05-17,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3W4bkpu5ghx0tPP,http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#,2020-04-24,2020-04-24T12:09:19Z,638,6,114,238,4025,0.149,,,,,,,,,,,,,,,,,,,,,,
R_27U0hVVQiF2ztD2El,7841137El,update,,Strengthening,timing of policy strengthening,"Ivory Coast extends the current schools closing policy to May 17 UPDATE: The original period was set to last until April 17, it has been extended to May 17",2020-04-15,2020-04-15,2020-05-17,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3W4bkpu5ghx0tPP,http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#,2020-04-24,2020-04-24T12:09:19Z,638,6,114,238,4025,0.149,,,,,,,,,,,,,,,,,,,,,,
R_27U0hVVQiF2ztD2Fv,7841137Fv,update,,Strengthening,timing of policy strengthening,"Ivory Coast extends the current schools closing policy to May 17 UPDATE: The original period was set to last until April 17, it has been extended to May 17",2020-04-15,2020-04-15,2020-05-17,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3W4bkpu5ghx0tPP,http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#,2020-04-24,2020-04-24T12:09:19Z,638,6,114,238,4025,0.149,,,,,,,,,,,,,,,,,,,,,,
R_27U0hVVQiF2ztD2Cd,7841137Cd,update,,Strengthening,timing of policy strengthening,"Ivory Coast extends the current schools closing policy to May 17 UPDATE: The original period was set to last until April 17, it has been extended to May 17",2020-04-15,2020-04-15,2020-05-17,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Ivory Coast,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3W4bkpu5ghx0tPP,http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#,2020-04-24,2020-04-24T12:09:19Z,638,6,114,238,4025,0.149,,,,,,,,,,,,,,,,,,,,,,
R_3RaXgwqFq5GCylfEk,7841137Ek,update,,Strengthening,timing of policy strengthening,"Ivory Coast is enforcing the reopening of preschool, primary, secondary and higher education institutions, according to the procedures to be communicated by the ministries concerned from May 18 except for the Regional Directorates of Abidjan, Dabou, Aboisso and the Departmental Directorate of Grand-Bassam.",2020-04-15,2020-04-15,,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Ivory Coast,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3W4bkpu5ghx0tPP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27eacaxdWl5GQPB,NA ; https://www.fratmat.info/article/204668/Politique/Alassane%20Ouattara/covid-19-coles-rouvertes-et-couvre-feu-leve-a-l039interieur-le-8-mai-restrictions-maintenues-a-abidjan ; http://www.gouv.ci/_actualite-article.php?recordID=11127&d=6,2020-05-12,2020-05-12T08:30:02Z,638,6,114,238,4025,0.149,,,,,,,,,,,,,,,,,,,,,,
R_3RaXgwqFq5GCylfEl,7841137El,update,,Strengthening,timing of policy strengthening,"Ivory Coast is enforcing the reopening of preschool, primary, secondary and higher education institutions, according to the procedures to be communicated by the ministries concerned from May 18 except for the Regional Directorates of Abidjan, Dabou, Aboisso and the Departmental Directorate of Grand-Bassam.",2020-04-15,2020-04-15,,The policy has a clear end date,Ivory Coast,CIV,CI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Ivory Coast,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3W4bkpu5ghx0tPP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27eacaxdWl5GQPB,NA ; https://www.fratmat.info/article/204668/Politique/Alassane%20Ouattara/covid-19-coles-rouvertes-et-couvre-feu-leve-a-l039interieur-le-8-mai-restrictions-maintenues-a-abidjan ; http://www.gouv.ci/_actualite-article.php?recordID=11127&d=6,2020-05-12,2020-05-12T08:30:02Z,638,6,114,238,4025,0.149,,,,,,,,,,,,,,,,,,,,,,
