record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1KiDd4topYSl98zBe,9782350,new_entry,,,"",Ivory Coast is meeting UEMOA on the 28th of April in order to decide new joint policies concerning their capacity to produce pharmaceuticals and to share experience among their scientists and leaders of the medical teams responsible for the response to Coronavirus in the respective countries,2020-04-27,2020-04-27,,The policy’s end date is unknown or unreported,"Benin,Burkina Faso,Guinea-Bissau,Ivory Coast,Mali,Niger,Senegal,Togo",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",No,Ivory Coast,One or more regional groupings,Other Regions (please specify below),,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3e8040QvTCxtfa0,http://www.gouv.ci/_actualite-article.php?recordID=11078&d=4,2022-07-25,2022-07-25T23:59:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1gdP3UKRd2OEXrUEp,7116958Ep,new_entry,,,"","Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-13,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_sp920gXuUCYMqLD,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_1gdP3UKRd2OEXrUEq,7116958Eq,new_entry,,,"","Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-13,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_sp920gXuUCYMqLD,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_1gdP3UKRd2OEXrUGa,7116958Ga,new_entry,,,"","Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-13,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_sp920gXuUCYMqLD,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_1gdP3UKRd2OEXrUCe,7116958Ce,new_entry,,,"","Equatorial Guinea decided that ""all academic activities at all levels in the National education system are suspended, in both public and private centres, together with sporting competitions"" as of 15 March 2020.",2020-03-15,2020-03-15,2020-04-13,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_sp920gXuUCYMqLD,https://www.guineaecuatorialpress.com/noticia.php?id=15109,2020-04-08,2020-04-08T22:46:17Z,1,0,0,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_32R3mBN5zh1Bf7fEp,7116958Ep,update,Change of Policy,Strengthening,timing of policy strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CJXbhDzsY7fdnL,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_32R3mBN5zh1Bf7fEq,7116958Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CJXbhDzsY7fdnL,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_32R3mBN5zh1Bf7fGa,7116958Ga,update,Change of Policy,Strengthening,timing of policy strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CJXbhDzsY7fdnL,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_32R3mBN5zh1Bf7fCe,7116958Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"The closing of education and sports activities, as well as those of religious groups, is extended in Equatorial Guinea as part of the declaration of the Health State of Alarm starting 31st March (?) UPDATE: Extension of the closing of school, sports and religious activity.",2020-04-03,2020-03-31,2020-04-30,The policy has a clear end date,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Equatorial Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CJXbhDzsY7fdnL,https://www.guineaecuatorialpress.com/noticia.php?id=15226&lang=en,2020-05-03,2020-05-03T18:44:05Z,12,0,1,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_27dGP6RlPIDvMIfEp,2566298Ep,new_entry,,,"","The Government of Equatorial Guinea has officially announced the re-opening of schools and resumption of academic activities starting from June 15, 2020.",2020-06-13,2020-06-15,,The policy’s end date is unknown or unreported,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Equatorial Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Municipal Government",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LbMAb3QjHEhuZx,https://www.guineaecuatorialpress.com/noticias/el_comite_politico_anuncia_oficialmente_el_desconfinamiento_de_todo_el_territorio_nacional_a_partir_15_de_junio,2022-12-07,2022-12-07T09:34:42Z,1306,12,200,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_27dGP6RlPIDvMIfEq,2566298Eq,new_entry,,,"","The Government of Equatorial Guinea has officially announced the re-opening of schools and resumption of academic activities starting from June 15, 2020.",2020-06-13,2020-06-15,,The policy’s end date is unknown or unreported,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Equatorial Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Municipal Government",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LbMAb3QjHEhuZx,https://www.guineaecuatorialpress.com/noticias/el_comite_politico_anuncia_oficialmente_el_desconfinamiento_de_todo_el_territorio_nacional_a_partir_15_de_junio,2022-12-07,2022-12-07T09:34:42Z,1306,12,200,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_27dGP6RlPIDvMIfGa,2566298Ga,new_entry,,,"","The Government of Equatorial Guinea has officially announced the re-opening of schools and resumption of academic activities starting from June 15, 2020.",2020-06-13,2020-06-15,,The policy’s end date is unknown or unreported,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Equatorial Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Municipal Government",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LbMAb3QjHEhuZx,https://www.guineaecuatorialpress.com/noticias/el_comite_politico_anuncia_oficialmente_el_desconfinamiento_de_todo_el_territorio_nacional_a_partir_15_de_junio,2022-12-07,2022-12-07T09:34:42Z,1306,12,200,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
R_27dGP6RlPIDvMIfCe,2566298Ce,new_entry,,,"","The Government of Equatorial Guinea has officially announced the re-opening of schools and resumption of academic activities starting from June 15, 2020.",2020-06-13,2020-06-15,,The policy’s end date is unknown or unreported,Equatorial Guinea,GNQ,GQ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Equatorial Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Municipal Government",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LbMAb3QjHEhuZx,https://www.guineaecuatorialpress.com/noticias/el_comite_politico_anuncia_oficialmente_el_desconfinamiento_de_todo_el_territorio_nacional_a_partir_15_de_junio,2022-12-07,2022-12-07T09:34:42Z,1306,12,200,,,,,,,,,165,56.3,0,-0.824784338474274,0.563846170902252,12,16,1308974,13423519536.0212,-6.12874928878162,14.0847541822043,23.320274194614,1,1,-0.450657943897089,-0.693903006353668,227617
