record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1nNpyO89Xhm7y93NA,2556695,new_entry,,,"","Sri Lanka's President stressed in a meeting on March 17th the need of taking swift action against those who spread rumours and fabricated stories regarding the spread of the virus, with the intention of frightening the general public.",2020-03-17,2020-03-17,2020-03-18,The policy is a one-time measure (e.g. publication of guidelines),Sri Lanka,LKA,LK,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Sri Lanka,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,63.2711279161892,58.215775418102,53.5334589643221,113,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Qah07lgTW3enWnL,https://www.president.gov.lk/more-decision-to-contain-covid-19-outbreak/,2022-11-02,2022-11-02T23:59:59Z,44,0,1,151,513,0.024,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_xap6XWSj5gf8Be9NA,8970430,new_entry,,,"",Sri Lanka's police spokesman announced on July 12 that the criminal investigations department is monitoring those spreading false information and rumors over social media and that stern action would take place against those caught doing so.,2020-07-12,2020-07-12,,The policy’s end date is unknown or unreported,Sri Lanka,LKA,LK,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Sri Lanka,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Police,56.8969621500741,52.9953681037236,48.5643239811038,40,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1lo8vTVD1v39LUH,https://menafn.com/1100469648/Sri-Lanka-CID-monitoring-social-media,2022-11-02,2022-11-02T23:59:59Z,2617,11,1981,2251,124322,5.71,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_2CxDHzEZKeY4NONEq,5028505Eq,new_entry,,,"","Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-04-20,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),44.5151382156369,38.6345967554039,32.6910694967197,59,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z,6,0,1,25,120,0.006,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_2CxDHzEZKeY4NONEr,5028505Er,new_entry,,,"","Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-04-20,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),44.5151382156369,38.6345967554039,32.6910694967197,59,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z,6,0,1,25,120,0.006,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_2CxDHzEZKeY4NONGb,5028505Gb,new_entry,,,"","Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-04-20,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),44.5151382156369,38.6345967554039,32.6910694967197,59,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z,6,0,1,25,120,0.006,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_2CxDHzEZKeY4NONCf,5028505Cf,new_entry,,,"","Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-04-20,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),44.5151382156369,38.6345967554039,32.6910694967197,59,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z,6,0,1,25,120,0.006,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_3oG9i7CKMntAiIFEq,5028505Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),75.2014322499959,71.1284744170608,66.5400347499887,84,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cZwNxcCSg3qiczn,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z,304,7,98,642,11136,0.511,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_3oG9i7CKMntAiIFEr,5028505Er,update,Change of Policy,Strengthening,timing of policy strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),75.2014322499959,71.1284744170608,66.5400347499887,84,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cZwNxcCSg3qiczn,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z,304,7,98,642,11136,0.511,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_3oG9i7CKMntAiIFGb,5028505Gb,update,Change of Policy,Strengthening,timing of policy strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),75.2014322499959,71.1284744170608,66.5400347499887,84,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cZwNxcCSg3qiczn,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z,304,7,98,642,11136,0.511,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
R_3oG9i7CKMntAiIFCf,5028505Cf,update,Change of Policy,Strengthening,timing of policy strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,The policy has a clear end date,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Sri Lanka,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),75.2014322499959,71.1284744170608,66.5400347499887,84,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_246Ev10S6UWLNRP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cZwNxcCSg3qiczn,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z,304,7,98,642,11136,0.511,,,,,,127,41.9,2,-0.345599442720413,0.379635602235794,11,38,21670000,85302876832.2506,3.20913112799197,16.8914393735125,25.1694740169275,1,0,-1.67561492827525,1.09103528514352,40018
