record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2SojLnXJ9CrJQNVEl,3233512El,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree that all school activities outside of the premises, are cancelled. This policy will take effect during 30 days",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,School event cancelled or postponed,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QB0fPqV9Om188S,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-05,2021-08-05T10:43:39Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_2SojLnXJ9CrJQNVEm,3233512Em,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree that all school activities outside of the premises, are cancelled. This policy will take effect during 30 days",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,School event cancelled or postponed,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QB0fPqV9Om188S,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-05,2021-08-05T10:43:39Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_2SojLnXJ9CrJQNVFw,3233512Fw,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree that all school activities outside of the premises, are cancelled. This policy will take effect during 30 days",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,School event cancelled or postponed,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QB0fPqV9Om188S,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-05,2021-08-05T10:43:39Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_2SojLnXJ9CrJQNVCe,3233512Ce,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree that all school activities outside of the premises, are cancelled. This policy will take effect during 30 days",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,School event cancelled or postponed,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QB0fPqV9Om188S,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-05,2021-08-05T10:43:39Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_3PhJWtDQDb4RJAlEl,8791051El,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree, that all children in formative institutions that present symptoms of COVID will be obligated to stay in their homes. This policy will take effect during 30 days maximum.",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Other Health Monitoring,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33jpoZrSoFddsxK,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-12,2021-08-12T10:34:13Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_3PhJWtDQDb4RJAlEm,8791051Em,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree, that all children in formative institutions that present symptoms of COVID will be obligated to stay in their homes. This policy will take effect during 30 days maximum.",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Other Health Monitoring,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33jpoZrSoFddsxK,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-12,2021-08-12T10:34:13Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_3PhJWtDQDb4RJAlFw,8791051Fw,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree, that all children in formative institutions that present symptoms of COVID will be obligated to stay in their homes. This policy will take effect during 30 days maximum.",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other Health Monitoring,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33jpoZrSoFddsxK,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-12,2021-08-12T10:34:13Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_3PhJWtDQDb4RJAlCe,8791051Ce,new_entry,,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree, that all children in formative institutions that present symptoms of COVID will be obligated to stay in their homes. This policy will take effect during 30 days maximum.",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Other Health Monitoring,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33jpoZrSoFddsxK,https://www.bopa.ad/bopa/032021/Pagines/GD20200312_11_51_13.aspx,2021-08-12,2021-08-12T10:34:13Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
R_2QlEgj6PsnX4jFMEl,8791051El,update,End of Policy,,"","On 11th March, 2020, the government of Andorra has announced as part of a decree, that all children in formative institutions that present symptoms of COVID will be obligated to stay in their homes. This policy will take effect during 30 days maximum. END OF POLICY UPDATE: from the 16th of March all schooling institutions are closed (except Escola Andorrana de Batxillerat, that will be closed starting the 16th) UPDATE: The original policy said all children that present symptoms should stay in their homes, but since now all schooling institutions are closed, this policy has ended",2020-03-11,2020-03-11,2020-04-08,The policy has a clear end date,Andorra,AND,AD,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Other Health Monitoring,Yes,Andorra,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),National Government,39.9587084113302,36.4578582749316,33.1857465108077,65,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33jpoZrSoFddsxK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2pWTWLyMivNyuHo,NA ; https://www.bopa.ad/bopa/032022/Pagines/GD20200313_18_13_16.aspx,2021-08-13,2021-08-13T14:13:40Z,1,0,0,,,,,,,,,37,23.2,2,1.95645272731781,0.823284327983856,0,58,77006,3432140710.39217,1.62934547096762,11.251638619878,21.9564500172632,2,2,4.05827579788247,4.93452969838667,45102
