record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T12:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1MKgVRhVNFS0xsNEr,5851966Er,new_entry,,,"","In Turkmenistan, on March 30, 2020, it was announced that spring break in schools is going to be extended for one week until April 6 by decision of Ministry of Education. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,The policy has a clear end date,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Turkmenistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TRWpEI4YDnrUZv,https://fergana.agency/news/116586/,CoronaNet (original),,2021-04-11,2021-04-11T10:07:16Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_1MKgVRhVNFS0xsNGc,5851966Gc,new_entry,,,"","In Turkmenistan, on March 30, 2020, it was announced that spring break in schools is going to be extended for one week until April 6 by decision of Ministry of Education. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,The policy has a clear end date,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Turkmenistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TRWpEI4YDnrUZv,https://fergana.agency/news/116586/,CoronaNet (original),,2021-04-11,2021-04-11T10:07:16Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_2tL0YOIclSZMwY0Eq,1084155Eq,new_entry,,,"","Turkmenistan: On May 23, it was reported that the Turkmenistan government is leading a temperature screening, introducing personal hygiene of hands with disinfectants, and an information campaign on sanitary measures in all educational institutions, including schools.",2020-05-23,2020-05-23,,The policy’s end date is unknown or unreported,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,"Temperature Check,Other conditions not listed above (please provide detail in the text entry)",Yes,Turkmenistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2b2ff3WbM0mlhdK,https://turkmenportal.com/blog/27718/informaciya-o-merah-pravitelstva-turkmenistana-po-ohrane-zdorovya-naseleniya-rasprostranena-na-74i-sessii-genassamblei-oon,OxCGRT,OXCGRT_Turkmenistan_20200523_school,2022-07-25,2022-07-25T16:27:22Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_2tL0YOIclSZMwY0Er,1084155Er,new_entry,,,"","Turkmenistan: On May 23, it was reported that the Turkmenistan government is leading a temperature screening, introducing personal hygiene of hands with disinfectants, and an information campaign on sanitary measures in all educational institutions, including schools.",2020-05-23,2020-05-23,,The policy’s end date is unknown or unreported,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Temperature Check,Other conditions not listed above (please provide detail in the text entry)",Yes,Turkmenistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2b2ff3WbM0mlhdK,https://turkmenportal.com/blog/27718/informaciya-o-merah-pravitelstva-turkmenistana-po-ohrane-zdorovya-naseleniya-rasprostranena-na-74i-sessii-genassamblei-oon,OxCGRT,OXCGRT_Turkmenistan_20200523_school,2022-07-25,2022-07-25T16:27:22Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_2tL0YOIclSZMwY0Gc,1084155Gc,new_entry,,,"","Turkmenistan: On May 23, it was reported that the Turkmenistan government is leading a temperature screening, introducing personal hygiene of hands with disinfectants, and an information campaign on sanitary measures in all educational institutions, including schools.",2020-05-23,2020-05-23,,The policy’s end date is unknown or unreported,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Temperature Check,Other conditions not listed above (please provide detail in the text entry)",Yes,Turkmenistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2b2ff3WbM0mlhdK,https://turkmenportal.com/blog/27718/informaciya-o-merah-pravitelstva-turkmenistana-po-ohrane-zdorovya-naseleniya-rasprostranena-na-74i-sessii-genassamblei-oon,OxCGRT,OXCGRT_Turkmenistan_20200523_school,2022-07-25,2022-07-25T16:27:22Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_2tL0YOIclSZMwY0Cf,1084155Cf,new_entry,,,"","Turkmenistan: On May 23, it was reported that the Turkmenistan government is leading a temperature screening, introducing personal hygiene of hands with disinfectants, and an information campaign on sanitary measures in all educational institutions, including schools.",2020-05-23,2020-05-23,,The policy’s end date is unknown or unreported,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Temperature Check,Other conditions not listed above (please provide detail in the text entry)",Yes,Turkmenistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2b2ff3WbM0mlhdK,https://turkmenportal.com/blog/27718/informaciya-o-merah-pravitelstva-turkmenistana-po-ohrane-zdorovya-naseleniya-rasprostranena-na-74i-sessii-genassamblei-oon,OxCGRT,OXCGRT_Turkmenistan_20200523_school,2022-07-25,2022-07-25T16:27:22Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_1GCtlZfqkH1Dx4dEr,4429214Er,new_entry,,,"","Schoolchildren of the Turkmen Dashgouz must come to the first lesson in the new school year, which starts on September 1, 2020, with individual sanitary bags. The class teachers and teachers explained to the parents of the students how these bags will look and what they will contain. A sanitary kit in a self-sewn bag should include wet and dry wipes, hand sanitizer, a tube of oxolinic ointment, a protective face mask, and disinfectant to clean your desk and chair. This requirement, along with an instruction to call the parents of future Dashgouz students, was sent to schools by the leadership of the local education system. According to the teacher of the school #7 of Dashgouz, children without a sanitary bag with the appropriate filling will not be admitted to classes.",2020-08-18,2020-09-01,,The policy’s end date is unknown or unreported,Turkmenistan,TKM,TM,Municipal,1,Dasoguz,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Turkmenistan,One or more cities within one or more countries,,Dasoguz,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3iJgeFG6QAhf0Lb,https://fergana.agency/news/120865/,CoronaNet (original),,2021-03-26,2021-03-26T18:58:35Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_1GCtlZfqkH1Dx4dGc,4429214Gc,new_entry,,,"","Schoolchildren of the Turkmen Dashgouz must come to the first lesson in the new school year, which starts on September 1, 2020, with individual sanitary bags. The class teachers and teachers explained to the parents of the students how these bags will look and what they will contain. A sanitary kit in a self-sewn bag should include wet and dry wipes, hand sanitizer, a tube of oxolinic ointment, a protective face mask, and disinfectant to clean your desk and chair. This requirement, along with an instruction to call the parents of future Dashgouz students, was sent to schools by the leadership of the local education system. According to the teacher of the school #7 of Dashgouz, children without a sanitary bag with the appropriate filling will not be admitted to classes.",2020-08-18,2020-09-01,,The policy’s end date is unknown or unreported,Turkmenistan,TKM,TM,Municipal,1,Dasoguz,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Turkmenistan,One or more cities within one or more countries,,Dasoguz,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3iJgeFG6QAhf0Lb,https://fergana.agency/news/120865/,CoronaNet (original),,2021-03-26,2021-03-26T18:58:35Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
R_2vhNEzdFgj8GnQtEr,1923046Er,new_entry,,,"","Turkmenistan: On August 25, Ashgabat schools require students to bring a  medical certificate that is issued after August 25 to start their education on September 1.",2020-08-25,2020-09-01,2020-09-03,The policy is a one-time measure (e.g. publication of guidelines),Turkmenistan,TKM,TM,Municipal,1,Ashgabat,,Ashgabat,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Health Certificate,Yes,Turkmenistan,One or more cities within one or more countries,,Ashgabat,Ashgabat,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ooptVjeDFSGNIQ,https://rus.azathabar.com/a/30801559.html,OxCGRT,OXCGRT_Turkmenistan_20200825_school,2022-07-05,2022-07-05T11:09:14Z,,,,,,,,,,,,179,85.4,0,0.107444331049919,-0.31783652305603,9,20,5850908,44747368777.8587,6.19999994137119,15.5821074208389,24.5242984816784,2,0,0.163783383419813,-1.53542163191555,195127
