location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Social Distancing;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-02;Social Distancing;0.76;9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-03;Social Distancing;1;9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-04;Social Distancing;1;9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-05;Social Distancing;1;9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi, 4975344,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-06;Social Distancing;1;9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi, 1608082FbMa,1608082GlMa,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi, 7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-07;Social Distancing;1;7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi, 1577619AsMa,7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-08;Social Distancing;1;1577619AsMa,7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi, 1577619AsMa,6521997,7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-09;Social Distancing;1;1577619AsMa,4401292,6521997,7059363,7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi, 1577619AsMa,6521997,7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
Afghanistan;2020-10;Social Distancing;1;1577619AsMa,6521997,7820238,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi, 1577619AsMa,6521997,7820238,8981477,9808730BfDi,9808730BqDi,9808730FwDi,9808730GpDi;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-09;1
