location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-03;Restrictions of Mass Gatherings;0.52;9349141, 8656056, 2428019,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-04;Restrictions of Mass Gatherings;1;2428019,8656056, 1347865,2428019,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-05;Restrictions of Mass Gatherings;1;1347865,2428019,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-06;Restrictions of Mass Gatherings;1;1347865,2428019,8656056, 1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-07;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-08;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-09;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-10;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-11;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2020-12;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-01;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-02;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-03;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056, 1347865,2428019,4964308,6348533,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-04;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-05;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-06;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-07;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-08;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-09;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-10;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-11;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2021-12;Restrictions of Mass Gatherings;1;1347865,2428019,4964308,8656056;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2022-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2022-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Afghanistan;2022-03;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-03;Restrictions of Mass Gatherings;0.77;439279, 178414,439279;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-04;Restrictions of Mass Gatherings;0.1;178414,439279;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-05;Restrictions of Mass Gatherings;0.68;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-06;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-07;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-08;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-09;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-10;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-11;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2020-12;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-01;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-02;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-03;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-04;Restrictions of Mass Gatherings;1;6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-05;Restrictions of Mass Gatherings;1;6010997, 2917205,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-06;Restrictions of Mass Gatherings;1;2917205,6010997,7089371,8504665, 6010997,7089371,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-07;Restrictions of Mass Gatherings;1;6010997,7089371,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-08;Restrictions of Mass Gatherings;1;6010997,7089371,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-09;Restrictions of Mass Gatherings;1;6010997,7089371,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-10;Restrictions of Mass Gatherings;1;6010997,7089371,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-11;Restrictions of Mass Gatherings;1;6010997,7089371,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2021-12;Restrictions of Mass Gatherings;1;6010997,7089371,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2022-01;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2022-02;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Albania;2022-03;Restrictions of Mass Gatherings;1;8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-03;Restrictions of Mass Gatherings;0.71;3546819,6585636, 3546819,3672401,6585636, 2212974,3546819,3672401,6585636, 2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-04;Restrictions of Mass Gatherings;1;2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-05;Restrictions of Mass Gatherings;1;2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-06;Restrictions of Mass Gatherings;1;2212974,3546819,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-07;Restrictions of Mass Gatherings;1;2212974,3546819,3672401,564301,6585636,8220728, 1539169,2212974,3546819,3672401,564301,6585636,8220728, 1539169,2212974,3672401,564301,6585636,8220728, 1539169,2200736,2212974,3672401,564301,6585636,8220728;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
Algeria;2020-08;Restrictions of Mass Gatherings;1;1539169,2200736,2212974,3672401,564301,6585636,8220728, 1539169,1562107,2200736,2212974,3672401,564301,5691766,6585636,8220728, 1539169,1562107,2200736,2212974,3672401,5691766,6585636,8220728, 1539169,1562107,2200736,2212974,3672401,5691766,6585636,8220728,9654572;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-14;1
