location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Public Awareness Measures;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-02;Public Awareness Measures;0.1;1077270;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-03;Public Awareness Measures;1;1077270;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-04;Public Awareness Measures;1;1077270, 1077270,8952915;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-05;Public Awareness Measures;1;1077270, 1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-06;Public Awareness Measures;1;1077270,5468092, 1077270,2880718,4988827,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-07;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-08;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-09;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-10;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-11;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2020-12;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-01;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-02;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-03;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-04;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-05;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-06;Public Awareness Measures;1;1077270,5468092, 1077270,2239341,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-07;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-08;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-09;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-10;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-11;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2021-12;Public Awareness Measures;1;1077270,5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2022-01;Public Awareness Measures;1;5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2022-02;Public Awareness Measures;1;5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Afghanistan;2022-03;Public Awareness Measures;1;5468092;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Albania;2020-01;Public Awareness Measures;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Albania;2020-02;Public Awareness Measures;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Albania;2020-03;Public Awareness Measures;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
Albania;2020-04;Public Awareness Measures;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2022-04-23;1
