location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Government Quarantine (i.e. quarantine at a government hotel or facility);0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-02;Government Quarantine (i.e. quarantine at a government hotel or facility);0.9655172413793104;7930702;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-03;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"7930702; 7930702;9420643; 3970132;7930702;9420643; 3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-04;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-05;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-06;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-07;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-08;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-09;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-10;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-11;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-12;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2021-01;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2021-02;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2021-03;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2021-04;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2021-05;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2021-06;Government Quarantine (i.e. quarantine at a government hotel or facility);1;"3970132;5818714;7930702;9420643";Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-01;Government Quarantine (i.e. quarantine at a government hotel or facility);0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-02;Government Quarantine (i.e. quarantine at a government hotel or facility);0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-03;Government Quarantine (i.e. quarantine at a government hotel or facility);0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-04;Government Quarantine (i.e. quarantine at a government hotel or facility);0.8;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-05;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-06;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-07;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-08;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-09;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-10;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-11;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2020-12;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2021-01;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2021-02;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2021-03;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2021-04;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2021-05;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Albania;2021-06;Government Quarantine (i.e. quarantine at a government hotel or facility);1;9989977;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
